Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+10 Quarters,Currency,Fiscal_Year_period
Pretax Income,"-12,728,484","-6,590,873","-9,179,632","-7,637,017","-5,930,185","-7,471,754","-7,089,336","-7,515,018","-7,972,047","-6,489,488","-8,954,095","-6,257,462","-9,909,991","-6,560,943","-8,909,848","-9,666,527","-4,401,243","-3,624,518","-2,948,647","-3,058,709",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-12,728,484","-6,590,873","-9,179,632","-7,637,017","-5,930,185","-7,471,754","-7,089,336","-7,515,018","-7,972,047","-6,489,488","-8,954,095","-6,257,462","-9,909,991","-6,560,943","-8,909,848","-9,666,527","-4,401,243","-3,624,518","-2,948,647","-3,058,709",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-12,728,484","-6,590,873","-9,179,632","-7,637,017","-5,930,185","-7,471,754","-7,089,336","-7,515,018","-7,972,047","-6,489,488","-8,954,095","-6,257,462","-9,909,991","-6,560,943","-8,909,848","-9,666,527","-4,401,243","-3,624,518","-2,948,647","-3,058,709",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"69,841,202","68,751,105","67,259,344","65,162,813","64,487,862","64,105,448","64,091,647","63,825,532","62,336,296","61,932,362","61,925,221","54,964,546","43,169,772","40,057,578","34,605,264","32,862,866","32,788,663","27,856,029","25,877,762","25,878,296",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"69,841,202","68,751,105","67,259,344","65,162,813","64,487,862","64,105,448","64,091,647","63,825,532","62,336,296","61,932,362","61,925,221","54,964,546","43,169,772","40,057,578","34,605,264","32,862,866","32,788,663","27,856,029","25,877,762","25,878,296",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),8.301%,7.247%,4.942%,2.095%,3.452%,3.509%,3.498%,16.121%,44.398%,54.608%,78.947%,67.254%,31.661%,43.802%,33.726%,26.990%,26.706%,7.700%,0.824%,60.540%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.182,-0.096,-0.136,-0.117,-0.092,-0.117,-0.111,-0.118,-0.128,-0.105,-0.145,-0.114,-0.230,-0.164,-0.257,-0.294,-0.134,-0.130,-0.114,-0.118,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.182,-0.096,-0.136,-0.117,-0.092,-0.117,-0.111,-0.118,-0.128,-0.105,-0.145,-0.114,-0.230,-0.164,-0.257,-0.294,-0.134,-0.130,-0.114,-0.118,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-7,776,949","-4,779,503","-6,926,253","-6,475,466","-3,420,103","-5,358,263","-9,990,921","-12,593,362","-1,702,730","-2,568,754","-10,430,208","-3,996,284","-6,398,632","-6,073,361","-7,084,289","-2,602,394","-2,989,667","-1,186,886","-2,447,085","-3,135,811",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.111,-0.070,-0.103,-0.099,-0.053,-0.084,-0.156,-0.197,-0.027,-0.041,-0.168,-0.073,-0.148,-0.152,-0.205,-0.079,-0.091,-0.043,-0.095,-0.121,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,100.000%,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-8155.547%,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-8330.298%,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-7711.225%,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-14,102,331","-7,695,434","-8,359,854","-7,977,028","-7,590,998","-6,256,153","-7,727,931","-9,077,047","-13,165,691","-9,178,442","-9,734,859","-13,082,151","-10,108,019","-6,368,688","-8,925,590","-9,600,394","-4,353,436","-3,468,158","-2,971,394","-2,976,522",Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"38,069","45,912","45,627","51,800","64,893","58,496","58,205","17,966","54,475","53,779","53,620","15,522","55,590","54,621","54,620","18,322","57,347","57,448","56,354","26,777",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-14,140,400","-7,741,346","-8,405,481","-8,028,828","-7,655,891","-6,314,649","-7,786,136","-9,095,013","-13,220,166","-9,232,221","-9,788,479","-13,097,673","-10,163,609","-6,423,309","-8,980,210","-9,618,716","-4,410,783","-3,525,606","-3,027,748","-3,003,299",Upgrade,Financials in CAD,Fiscal year is January - December
