Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Net Income to Common,"-4,485,692","-8,143,078","-4,014,194","-4,723,969","-4,718,263","-7,687,969","-5,137,319","-4,674,466","-4,558,209","-5,085,420","-3,272,643","-3,219,933","-4,663,533","-3,556,693","-2,450,447","-1,655,681","-794,371","-543,362","-584,268","-709,576",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,531,747","19,215,582","17,978,951","15,019,351","12,701,401","12,387,089","11,935,081","11,883,368","11,883,368","11,883,368","11,883,368","11,900,049","11,876,745","11,876,460","4,868,915","3,549,455","3,203,729","1,981,765","1,981,765","2,250,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,531,747","19,215,582","17,978,951","15,019,351","12,701,401","12,387,089","11,935,081","11,883,368","11,883,368","11,883,368","11,883,368","11,900,049","11,876,745","11,876,460","4,868,915","3,549,455","3,203,729","1,981,765","1,981,765","2,250,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),108.888%,55.126%,50.640%,26.390%,6.884%,4.239%,0.435%,-0.140%,0.056%,0.058%,144.066%,235.264%,270.716%,499.287%,145.686%,57.754%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.169,-0.424,-0.223,-0.315,-0.371,-0.621,-0.430,-0.393,-0.384,-0.428,-0.275,-0.271,-0.393,-0.299,-0.503,-0.466,-0.248,-0.274,-0.295,-0.315,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.169,-0.424,-0.223,-0.315,-0.371,-0.621,-0.430,-0.393,-0.384,-0.428,-0.275,-0.271,-0.393,-0.299,-0.503,-0.466,-0.248,-0.274,-0.295,-0.315,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,076,206","-5,777,950","-3,586,583","-5,660,398","-3,967,365","-5,025,008","-4,228,460","-3,914,011","-3,346,255","-5,095,610","-2,455,216","-4,157,463","-2,224,461","-3,239,563","-2,838,395","-1,322,768","-756,434","-424,148","-757,713","-348,861",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.229,-0.301,-0.199,-0.377,-0.312,-0.406,-0.354,-0.329,-0.282,-0.429,-0.207,-0.349,-0.187,-0.273,-0.583,-0.373,-0.236,-0.214,-0.382,-0.155,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-9477.680%,-,-,-5442.982%,-8760.395%,-8860.807%,-29027.143%,-4306.165%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-9310.111%,-,-,-5347.332%,-8718.214%,-8860.331%,-29200.006%,-4357.785%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-7663.030%,-,-,-5358.047%,-6540.615%,-11440.145%,-13928.126%,-3969.226%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-4,449,321","-8,173,231","-4,371,225","-4,396,352","-4,877,496","-7,720,875","-5,221,542","-4,563,840","-4,745,156","-5,171,364","-3,280,268","-3,214,318","-4,631,790","-3,512,405","-2,463,512","-1,612,801","-816,708","-530,189","-510,159","-693,960",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,643","9,593","8,528","12,082","7,509","10,239","8,242","7,574","5,828","5,021","8,209","5,788","4,135","2,158","3,403","2,834","2,381","2,276","2,101",925,Financials in USD,Fiscal year is January - December
EBIT,"-4,458,964","-8,182,824","-4,379,753","-4,408,434","-4,885,005","-7,731,114","-5,229,784","-4,571,414","-4,750,984","-5,176,385","-3,288,477","-3,220,106","-4,635,925","-3,514,563","-2,466,915","-1,615,635","-819,089","-532,465","-512,260","-694,885",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,"55,180",-,-,"95,102","45,006","43,208","27,345","89,173","5,269","9,139","6,696","6,373","6,673","8,927",Financials in USD,Fiscal year is January - December
