Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-29,887,000","-31,661,000","-30,142,000","-19,613,000","-22,997,000","-24,045,000","-22,563,000","-18,723,000","-16,245,000","-15,097,000","-16,156,000","-14,200,000","-15,839,000","-10,674,000","-7,912,000","-7,807,000","-7,170,000","-5,613,000","-5,537,000",Financials in USD,Fiscal year is January - December
Net Income,"-29,887,000","-31,661,000","-30,142,000","-19,613,000","-22,997,000","-24,045,000","-22,563,000","-18,723,000","-16,245,000","-15,097,000","-16,156,000","-14,200,000","-15,839,000","-10,674,000","-7,912,000","-7,807,000","-7,170,000","-5,613,000","-5,537,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,887,000","-31,661,000","-30,142,000","-19,613,000","-22,997,000","-24,045,000","-22,563,000","-18,723,000","-16,245,000","-15,097,000","-16,156,000","-14,200,000","-15,839,000","-10,674,000","-7,912,000","-7,807,000","-7,170,000","-5,613,000","-5,537,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,354,124","52,932,746","47,904,737","47,829,529","47,823,116","47,208,664","24,225,954","24,077,857","24,073,935","24,063,677","23,974,642","23,963,380","19,875,428","1,387,973","1,218,909","975,756","1,001,853","908,564","776,769",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,354,124","52,932,746","47,904,737","47,829,529","47,823,116","47,208,664","24,225,954","24,077,857","24,073,935","24,063,677","23,974,642","23,963,380","19,875,428","1,387,973","1,218,909","975,756","1,001,853","908,564","776,769",Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.566%,12.125%,97.741%,98.645%,98.651%,96.182%,1.048%,0.478%,21.124%,1633.728%,1866.894%,2355.878%,1883.867%,52.766%,56.920%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.560,-0.598,-0.629,-0.410,-0.481,-0.509,-0.931,-0.778,-0.675,-0.627,-0.674,-0.593,-0.797,-7.690,-6.491,-8.001,-7.157,-6.178,-7.128,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.560,-0.598,-0.629,-0.410,-0.481,-0.509,-0.931,-0.778,-0.675,-0.627,-0.674,-0.593,-0.797,-7.690,-6.491,-8.001,-7.157,-6.178,-7.128,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-29,288,000","-27,087,000","-29,972,000","-24,235,000","6,598,000","-22,442,000","-24,425,000","-17,387,000","-17,426,000","-15,260,000","-20,655,000","-16,591,000","-14,493,000","-14,618,000","-12,916,000","-8,735,000","-7,132,000","14,922,000","-6,316,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.549,-0.512,-0.626,-0.507,0.138,-0.475,-1.008,-0.722,-0.724,-0.634,-0.862,-0.692,-0.729,-10.532,-10.596,-8.952,-7.119,16.424,-8.131,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-210.720%,-,-,-220.138%,-,-,-257.347%,-,-,-,-279.248%,-262.062%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-3109.819%,-6364.552%,-5542.933%,-296.173%,-636.686%,-781.766%,-334.308%,-602.553%,-492.953%,-375.888%,-535.022%,-497.617%,-656.799%,-374.965%,-390.627%,-982.390%,-2472.759%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-2849.094%,-5906.903%,-5325.442%,-271.987%,-591.639%,-763.818%,-331.663%,-604.943%,-483.051%,-372.214%,-534.790%,-497.547%,-656.675%,-374.789%,-390.331%,-982.013%,-2472.414%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2791.992%,-5053.545%,-5295.406%,-336.084%,169.745%,-712.897%,-359.033%,-561.777%,-518.168%,-376.233%,-683.714%,-581.324%,-600.871%,-513.272%,-637.198%,-1098.742%,-2459.310%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-31,595,000","-32,998,000","-30,119,000","-20,077,000","-23,462,000","-23,314,000","-21,244,000","-17,165,000","-15,327,000","-14,039,000","-14,968,000","-13,060,000","-14,786,000","-10,018,000","-7,449,000","-7,414,000","-6,825,000","-5,350,000","-5,414,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-278.422%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,027,000","1,116,000","1,254,000","1,280,000","1,286,000","1,296,000","1,499,000","1,484,000","1,251,000","1,207,000","1,195,000","1,142,000","1,056,000","661,000","469,000","396,000","346,000","266,000","222,000",Financials in USD,Fiscal year is January - December
EBIT,"-32,622,000","-34,114,000","-31,373,000","-21,357,000","-24,748,000","-24,610,000","-22,743,000","-18,649,000","-16,578,000","-15,246,000","-16,163,000","-14,202,000","-15,842,000","-10,679,000","-7,918,000","-7,810,000","-7,171,000","-5,616,000","-5,636,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-296.173%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
