Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Merger & Restructuring Charges,"-8,800,000","-10,400,000","-3,300,000","-7,600,000","-10,100,000","-3,600,000","-600,000","-2,700,000","-5,200,000","-13,000,000","-9,600,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-9,800,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-35,800,000","-88,600,000","-75,700,000","-41,000,000","-21,900,000","36,600,000","9,500,000","41,700,000","74,200,000","83,600,000","37,500,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-17,300,000","10,700,000","4,100,000","-5,000,000","-5,800,000","11,600,000","1,500,000","8,300,000","13,600,000","17,200,000","5,000,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-18,500,000","-99,300,000","-79,800,000","-36,000,000","-16,100,000","25,000,000","8,000,000","33,400,000","60,600,000","66,400,000","32,500,000",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-9,400,000","-39,100,000","-21,200,000",-,"2,100,000","5,800,000","4,500,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-27,900,000","-138,400,000","-101,000,000","-36,000,000","-14,000,000","30,800,000","12,500,000","33,400,000","60,600,000","66,400,000","32,500,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,900,000","-138,400,000","-101,000,000","-36,000,000","-14,000,000","30,800,000","12,500,000","33,400,000","60,600,000","66,400,000","32,500,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-53.614%,-61.538%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"89,600,000","89,400,000","89,200,000","88,800,000","88,800,000","88,800,000","88,800,000","88,800,000","88,800,000","88,800,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"89,600,000","89,400,000","89,200,000","88,800,000","88,800,000","88,800,000","88,800,000","88,800,000","88,800,000","88,800,000",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.901%,0.676%,0.450%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.311,-1.548,-1.132,-0.405,-0.158,0.347,0.141,0.376,0.682,0.748,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.315,-1.548,-1.132,-0.411,-0.158,0.345,0.141,0.370,0.680,0.748,-,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-53.819%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,600,000","262,500,000","-34,900,000","3,000,000","-3,200,000","140,500,000","-18,200,000","9,900,000","63,900,000","31,300,000","-72,000,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.118,2.936,-0.391,0.034,-0.036,1.582,-0.205,0.111,0.720,0.352,-,Financials in USD,Fiscal year is January - December
Gross Margin,21.974%,20.697%,16.297%,15.437%,21.014%,21.569%,21.963%,21.255%,21.973%,22.544%,18.087%,Financials in USD,Fiscal year is January - December
Operating Margin,-1.363%,-6.114%,-5.150%,-0.400%,2.858%,4.855%,2.118%,9.925%,9.721%,10.617%,5.430%,Financials in USD,Fiscal year is January - December
Profit Margin,-4.134%,-20.894%,-15.254%,-4.643%,-1.961%,4.248%,1.801%,4.385%,7.950%,8.372%,4.172%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1.571%,39.629%,-5.271%,0.387%,-0.448%,19.377%,-2.623%,1.300%,8.383%,3.947%,-9.243%,Financials in USD,Fiscal year is January - December
EBITDA,"12,000,000","-19,100,000","-12,200,000","20,800,000","43,200,000","58,600,000","35,600,000","98,600,000","96,800,000","107,600,000","65,900,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,1.778%,-2.883%,-1.843%,2.682%,6.052%,8.082%,5.130%,12.945%,12.698%,13.567%,8.460%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,200,000","21,400,000","21,900,000","23,900,000","22,800,000","23,400,000","20,900,000","23,000,000","22,700,000","23,400,000","23,600,000",Financials in USD,Fiscal year is January - December
EBIT,"-9,200,000","-40,500,000","-34,100,000","-3,100,000","20,400,000","35,200,000","14,700,000","75,600,000","74,100,000","84,200,000","42,300,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-1.363%,-6.114%,-5.150%,-0.400%,2.858%,4.854%,2.118%,9.925%,9.720%,10.617%,5.430%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,31.694%,15.789%,19.904%,18.329%,20.574%,13.333%,Financials in USD,Fiscal year is January - December
