Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"2,449,000","1,921,000","1,420,000",-,"2,483,000","15,257,000","15,257,000","10,171,000","10,171,000","3,283,000","3,283,000","5,962,000","5,962,000","4,704,500","4,704,500","5,570,000",-,"9,477,500","9,477,500","7,742,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,"-519,000",-,"-2,449,000","-29,809,000","-29,809,000","-128,221,500","-128,221,500","-90,511,000","-90,511,000","-126,841,500","-126,841,500","-57,100,000","-57,100,000","-108,587,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-348,000","-782,500",-,-,-,-,"-87,695,500","-87,695,500","-36,359,000","-36,359,000","3,011,500","3,011,500","9,675,000","9,675,000","-20,366,000","-2,707,000","473,500","473,500","130,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,528,000","6,277,000","2,740,000",-,"2,379,000","-35,850,500","-35,850,500","57,148,500","57,148,500","22,269,500","22,269,500","4,184,500","4,184,500","8,080,000","8,080,000","3,627,000","1,043,000","5,731,000","5,731,000","568,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,491,000","-7,158,000","-9,692,000",-,"-8,221,000","-386,398,000","-386,398,000","-723,107,000","-723,107,000","-511,546,000","-511,546,000","-635,978,000","-635,978,000","-543,499,500","-543,499,500","1,045,050,000","-397,522,000","-291,634,000","-291,634,000","-325,944,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"-6,774,500","-6,774,500","-11,882,500","-11,882,500","8,433,000","8,433,000","6,747,000","6,747,000","8,731,000","2,142,000","207,500","207,500","413,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"407,598,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,050,000","-3,050,000",-,-,-,-,"-23,039,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,491,000","-7,158,000","-9,692,000",-,"-8,221,000","-386,398,000","-386,398,000","-729,881,500","-729,881,500","-523,428,500","-523,428,500","-627,545,000","-627,545,000","-539,802,500","-539,802,500","1,053,781,000","12,218,000","-291,426,500","-291,426,500","-348,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"348,500","348,500",-,-,"-15,000","-15,000","-1,562,000","-1,562,000","12,231,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-20,491,000","-7,158,000","-9,692,000",-,"-8,221,000","-386,398,000","-386,398,000","-730,230,000","-730,230,000","-523,428,500","-523,428,500","-627,530,000","-627,530,000","-538,240,500","-538,240,500","1,041,550,000","12,218,000","-291,426,500","-291,426,500","-348,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,"31,936,000","12,578,500",-,"-25,035,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-20,491,000","24,778,000","2,886,500",-,"-33,256,000","-386,398,000","-386,398,000","-730,230,000","-730,230,000","-523,428,500","-523,428,500","-627,530,000","-627,530,000","-538,240,500","-538,240,500","1,041,550,000","12,218,000","-291,426,500","-291,426,500","-348,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,051,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,491,000","24,778,000","2,886,500",-,"-33,256,000","-386,398,000","-386,398,000","-730,230,000","-730,230,000","-523,428,500","-523,428,500","-627,530,000","-627,530,000","-538,240,500","-538,240,500","1,041,550,000","12,218,000","-291,426,500","-291,426,500","-381,621,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"81,495,843","80,931,994","80,870,270",-,"83,879,420","83,167,886","83,167,886","82,874,447","82,874,447","82,111,893","82,111,893","78,516,052","78,516,052","73,403,126","73,403,126","67,981,961","59,410,787","52,963,472","52,963,472","3,466,372",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"81,495,843","80,931,994","80,870,270",-,"83,879,420","83,167,886","83,167,886","82,874,447","82,874,447","82,111,893","82,111,893","78,516,052","78,516,052","73,403,126","73,403,126","108,108,621","59,410,787","52,963,472","52,963,472","3,466,372",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.842%,-2.688%,-2.763%,-,1.213%,1.286%,1.286%,5.551%,5.551%,11.864%,11.864%,-27.373%,32.158%,38.592%,38.592%,3018.783%,1802.048%,1595.636%,1595.636%,15.156%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.251,0.306,0.036,-,-0.396,-4.646,-4.646,-8.811,-8.811,-6.375,-6.375,-7.992,-7.992,-7.333,-7.333,15.321,0.206,-5.502,-5.502,-110.092,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.251,0.306,0.036,-,-0.396,-4.646,-4.646,-8.811,-8.811,-6.375,-6.375,-7.997,-7.997,-7.333,-7.333,9.639,0.200,-5.502,-5.502,-110.094,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,-,-,-,-,-,-,-,"-295,016,500","-295,016,500","-278,161,000","-278,161,000","-223,351,500","-223,351,500","1,012,942,000","-237,464,000","-174,964,000","-174,964,000","-223,613,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-3.593,-3.593,-3.543,-3.543,-3.043,-3.043,9.370,-3.997,-3.303,-3.303,-64.509,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,100.000%,100.000%,100.000%,-,-,47.478%,47.478%,33.906%,33.906%,100.000%,100.000%,100.000%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-3375.873%,-3417.817%,-3417.817%,-,-,-1582.122%,-1582.122%,-1486.938%,-1486.938%,-5725.558%,-5725.558%,75.506%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-10557.460%,-3931.804%,-3931.804%,-,-,-2018.699%,-2018.699%,-1786.537%,-1786.537%,-6056.152%,-6056.152%,67.516%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-1137.786%,-1137.786%,-791.906%,-791.906%,-2513.097%,-2513.097%,65.662%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-11,558,447","-14,184,093","-11,721,298",-,"-9,765,787",-,-,"-568,170,000","-568,404,500","-404,128,000","-404,128,000","-518,382,000","-518,382,000","-505,494,500","-505,494,500","1,169,811,000","-392,915,000","-304,291,500","-304,291,500","-330,863,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.830%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"853,553","823,907","829,202",-,"868,213",-,-,"6,335,000","6,100,500","6,100,500","6,100,500","3,912,500","3,912,500","3,364,500","3,364,500","5,005,000","2,646,000","2,546,000","2,546,000","2,996,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-12,412,000","-15,008,000","-12,550,500",-,"-10,634,000","-335,886,000","-335,886,000","-574,505,000","-574,505,000","-410,228,500","-410,228,500","-522,294,500","-522,294,500","-508,859,000","-508,859,000","1,164,806,000","-395,561,000","-306,837,500","-306,837,500","-333,859,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.506%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.161%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"315,000","9,827,500","9,827,500","-136,710,500","-136,710,500","25,929,000","25,929,000","44,013,000","44,013,000","8,887,500","8,887,500",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
