Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"516,000","570,000","197,000","115,000","102,000","115,000","109,000","153,000","24,000","9,000","9,000","13,000","13,000","12,000","16,000","13,000","22,000","17,000","35,000","69,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-17,000","-38,000","2,000","-11,000","5,000","9,000","-3,000","-4,000","1,000","-3,000","-1,000","-1,000",-,"-4,000","4,000","-8,000","13,000","-9,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,732,000","-5,553,000","12,848,000","-2,686,000","-1,854,000","-5,444,000","-6,022,000","-6,799,000","-8,062,000","-5,064,000","-3,605,000","-4,265,000","-4,224,000","-3,917,000","-4,915,000","-3,338,000","-6,200,000","-4,845,000","-3,826,000","-3,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-3,000",-,"-11,000","4,000","-13,000",-,"-30,000","-58,000","-27,000","-8,000","-91,000","-162,000","39,000","-84,000","182,000","100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,735,000","-5,553,000","12,837,000","-2,682,000","-1,867,000","-5,444,000","-6,052,000","-6,857,000","-8,089,000","-5,072,000","-3,696,000","-4,427,000","-4,185,000","-4,001,000","-4,733,000","-3,238,000","-6,200,000","-4,845,000","-3,826,000","-3,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,735,000","-5,553,000","12,837,000","-2,682,000","-1,867,000","-5,444,000","-6,052,000","-6,857,000","-8,089,000","-5,072,000","-3,696,000","-4,427,000","-4,185,000","-4,001,000","-4,733,000","-3,238,000","-6,200,000","-4,845,000","-3,826,000","-3,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,735,000","-5,553,000","12,837,000","-2,682,000","-1,867,000","-5,444,000","-6,052,000","-6,857,000","-8,089,000","-5,072,000","-3,696,000","-4,427,000","-4,185,000","-4,001,000","-4,733,000","-3,238,000","-6,200,000","-4,845,000","-3,826,000","-3,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,371,000","27,297,000","27,045,000","26,833,000","26,596,000","26,458,000","26,559,000","26,785,000","26,108,000","26,052,000","26,019,000","24,594,444","26,007,000","26,003,000","26,003,000","24,907,692","25,598,000","23,393,000","19,896,000","20,055,555",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,371,000","27,297,000","31,091,000","26,833,000","26,596,000","26,458,000","26,559,000","26,785,000","26,108,000","26,052,000","26,019,000","24,594,444","26,007,000","26,003,000","26,003,000","24,907,692","25,598,000","23,393,000","19,896,000","20,055,555",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.914%,3.171%,17.064%,0.179%,1.869%,1.558%,2.075%,8.907%,0.388%,0.188%,0.062%,-1.258%,1.598%,11.157%,30.695%,24.193%,28.659%,17.576%,-,0.815%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.210,-0.203,0.475,-0.100,-0.070,-0.206,-0.228,-0.256,-0.310,-0.195,-0.142,-0.180,-0.161,-0.154,-0.182,-0.130,-0.242,-0.207,-0.192,-0.180,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.210,-0.203,0.410,-0.100,-0.070,-0.210,-0.230,-0.256,-0.310,-0.195,-0.142,-0.180,-0.161,-0.154,-0.182,-0.133,-0.242,-0.210,-0.192,-0.180,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,206,000","-8,387,000","39,047,000","-4,860,000","-2,760,000","-3,946,000","-5,577,000","-6,802,000","-5,010,000","-3,390,000","-2,856,000","-3,245,000","-2,958,000","-4,426,000","-3,593,000","-3,284,000","-5,446,000","-3,116,000","-3,749,000","-1,590,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.081,-0.307,1.256,-0.181,-0.104,-0.149,-0.210,-0.254,-0.192,-0.130,-0.110,-0.132,-0.114,-0.170,-0.138,-0.132,-0.213,-0.133,-0.188,-0.079,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,80.542%,91.628%,97.833%,92.963%,94.919%,95.549%,94.335%,94.397%,-,-,-,-,-,-,-,100.000%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-74.591%,-69.389%,54.155%,-18.675%,-15.610%,-140.331%,-314.252%,-399.674%,-,-,-,-,-,-,-,-1968.235%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-82.234%,-76.467%,50.585%,-27.550%,-28.657%,-163.729%,-360.883%,-446.710%,-,-,-,-,-,-,-,-1904.706%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-31.632%,-115.492%,153.868%,-49.923%,-42.364%,-118.677%,-332.558%,-443.127%,-,-,-,-,-,-,-,-1931.765%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-5,177,000","-5,013,000","14,466,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-74.233%,-69.031%,57.004%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"25,000","26,000","723,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-5,202,000","-5,039,000","13,743,000","-1,818,000","-1,017,000","-4,666,000","-5,270,000","-6,135,000","-7,899,000","-5,009,000","-3,546,000","-4,207,000","-4,173,000","-3,920,000","-4,923,000","-3,346,000","-5,859,000","-4,845,000","-3,835,000","-3,653,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-74.591%,-69.388%,54.155%,-18.675%,-15.610%,-140.331%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"6,974,000","7,262,000","25,377,000",-,"6,515,000","3,325,000","1,677,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
