Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Net Income,"-3,795,852","-2,325,057","-2,256,109","-2,473,777","-1,820,115","-2,336,914","-2,688,288","-1,766,438","-2,127,486","-1,636,854","-2,942,404","2,452,938","-853,436","-1,556,089","-2,250,056","-1,295,867","-414,112","-241,433","-465,959",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,795,852","-2,325,057","-2,256,109","-2,473,777","-1,820,115","-2,336,914","-2,688,288","-1,766,438","-2,127,486","-1,636,854","-2,942,404","2,452,938","-853,436","-1,556,089","-2,250,056","-1,295,867","-414,112","-241,433","-465,959",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,547,324","962,149","783,854","231,257","46,169","44,889","30,705","30,731","30,752","30,861","28,197","16,953","16,953","16,953","16,953","17,451","16,751","16,751","16,751",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,547,324","962,149","783,854","231,257","46,169","44,889","30,705","30,731","30,752","30,861","28,197","16,953","16,953","16,953","16,953","17,451","16,751","16,751","16,751",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3251.435%,2043.396%,2452.855%,652.520%,50.133%,45.455%,8.895%,81.272%,81.396%,82.039%,66.325%,-2.854%,1.206%,1.206%,1.206%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.453,-2.417,-2.878,-10.697,-39.423,-52.060,-87.552,-57.481,-69.182,-53.040,-104.352,144.690,-50.341,-91.788,-132.723,-74.257,-24.722,-14.413,-27.817,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.453,-2.417,-2.878,-10.697,-39.423,-52.060,-87.552,-57.481,-69.182,-53.040,-104.352,144.690,-50.341,-91.788,-132.723,-74.257,-24.722,-14.413,-27.817,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,863,860","-2,179,303","-2,825,181","-1,415,427","-908,966","-1,511,023","-3,464,690","-892,676","-1,548,932","-1,388,027","-2,728,315","-7,675","-316,776","-269,423","-492,370","-518,815","-113,598","-239,200","-206,819",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.851,-2.265,-3.604,-6.121,-19.688,-33.661,-112.838,-29.048,-50.368,-44.977,-96.759,-0.453,-18.686,-15.892,-29.043,-29.730,-6.782,-14.280,-12.347,Financials in USD,Fiscal year is January - December
EBIT,"-3,865,571","-2,373,454","-2,347,303","-2,531,156","-1,845,070","-2,364,596","-2,714,398","-1,766,438","-2,127,486","-1,636,854","-1,351,160","-101,593","-541,113","-1,097,718","-1,467,593","-742,754","-323,359","-196,334","-256,704",Financials in USD,Fiscal year is January - December
