Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-10,349,410","-7,335,455","-5,025,745","-22,856,763","-5,102,317","-6,880,886","-7,353,820","-7,848,966","-7,076,068","-4,868,277","1,078,144","-11,551,496","-4,061,190","-2,941,679","1,409,834","8,444,674","9,926,436","873,331","873,332",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"25,629",-,"-92,281","92,281",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-10,349,410","-7,335,455","-5,025,745","-22,856,763","-5,102,317","-6,880,886","-7,353,820","-7,874,595","-7,076,068","-4,775,996","985,863","-11,551,496","-4,061,190","-2,941,679","1,409,834","8,444,674","9,926,436","873,331","873,332",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,080,661","3,486,854","296,903","296,904",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,349,410","-7,335,455","-5,025,745","-22,856,763","-5,102,317","-6,880,886","-7,353,820","-7,874,595","-7,076,068","-4,775,996","985,863","-11,551,496","-4,061,190","-2,941,679","1,409,834","12,525,335","6,439,582","576,428","576,428",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-30.072%,-,-,-,61.432%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"9,259,192","9,255,025","9,241,940","6,760,556","5,240,600","5,042,126","5,039,705","4,497,274","4,303,089","4,299,941","4,311,335","3,143,649","2,597,341","2,597,341","2,597,341","3,521,600","3,521,600","3,521,600","3,521,600",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"9,259,192","9,255,025","9,241,940","6,760,556","5,240,600","5,042,126","5,039,705","4,497,274","4,303,089","4,299,941","4,581,665","3,143,649","2,597,341","2,597,341","2,807,257","3,521,600","5,990,324","5,779,340","5,779,340",Financials in USD,Fiscal year is January - December
Shares Change (YoY),76.682%,83.554%,83.383%,50.326%,21.787%,17.260%,9.997%,43.059%,65.673%,65.552%,63.208%,-10.732%,-56.641%,-55.058%,-51.426%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.118,-0.793,-0.544,-3.381,-0.974,-1.365,-1.459,-1.751,-1.644,-1.111,0.229,-3.675,-1.564,-1.133,0.543,3.557,1.829,0.164,0.164,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.118,-0.793,-0.544,-3.381,-0.974,-1.365,-1.459,-1.751,-1.644,-1.111,0.200,-3.700,-1.564,-1.133,0.500,2.361,1.657,0.151,0.151,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-60.000%,-,-,-,230.880%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,392,331","-7,770,292","-10,879,083","-13,514,581","-5,253,121","-4,921,840","-1,627,017","-1,672,778","-7,997,224","-5,060,874","-10,895,049","-7,240,091","569,315","-9,849,347","7,563,339","-828,568","-496,852","-700,743","-700,744",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.690,-0.840,-1.177,-1.999,-1.002,-0.976,-0.323,-0.372,-1.858,-1.177,-2.378,-2.303,0.219,-3.792,2.694,-0.235,-0.083,-0.121,-0.121,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-217.172%,-,-,-230.335%,-104.835%,-35.177%,-12.889%,3.711%,-2.654%,-2.602%,24.491%,-8.361%,143.408%,36.885%,36.885%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-3876.953%,-1205.899%,-6187.898%,-420.000%,-7573.397%,-1273.790%,-363.742%,-217.492%,-103.030%,-56.827%,-66.414%,-27.181%,-15.775%,4.808%,33.325%,56.970%,16.832%,16.832%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-2787.694%,-532.064%,-7493.750%,-402.594%,-8046.126%,-1265.498%,-364.417%,-197.121%,-75.206%,8.353%,-104.460%,-27.664%,-16.155%,8.329%,48.632%,36.864%,9.596%,9.596%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-2952.945%,-1151.744%,-4430.850%,-414.493%,-5755.326%,-279.989%,-77.412%,-222.782%,-79.692%,-92.307%,-65.472%,3.878%,-54.089%,44.680%,-3.217%,-2.844%,-11.665%,-11.665%,Financials in USD,Fiscal year is January - December
EBITDA,"-10,364,212","-9,168,128","-9,427,576","-17,951,280","-4,359,488","-5,607,845","-6,503,556","-6,961,201","-6,922,122","-5,793,752","-6,071,104","-6,724,248","-3,616,574","-2,613,650","1,049,883","8,742,076","10,050,582","1,073,640","1,073,641",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-192.832%,-91.233%,-51.437%,-60.807%,-24.635%,-14.353%,6.202%,33.943%,57.535%,17.873%,17.873%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"945,154","1,033,570","1,963,040","922,491","963,434","868,773","898,453","898,808","885,194","749,192","636,235","619,984","373,780","258,891","235,959","159,254","98,761","62,563","62,564",Financials in USD,Fiscal year is January - December
EBIT,"-11,309,366","-10,201,698","-11,390,616","-18,873,771","-5,322,922","-6,476,618","-7,402,009","-7,860,009","-7,807,316","-6,542,944","-6,707,339","-7,344,232","-3,990,354","-2,872,541","813,924","8,582,822","9,951,821","1,011,077","1,011,077",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-217.492%,-103.030%,-56.827%,-66.414%,-27.181%,-15.775%,4.808%,33.325%,56.970%,16.831%,16.831%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,8.559%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"263,137","944,575","305,011","1,267,361","85,518","581,101","2,160,872","3,589,708","6,350,525","11,803,077","11,058,253","14,680,589","18,209,502","16,927,734","25,755,145","17,468,545","6,007,034","6,007,035",Financials in USD,Fiscal year is January - December
