Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Gain (Loss) on Sale of Investments,"5,297",-151,-724,"2,015","1,824","-1,372","-1,537",89,699,948,"-4,742","-1,248","-1,948",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"100,000",-,-,-,"-178,198",-,-,-,-,-,"4,442","-207,220","-1,058,086","180,257",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,929,391","-9,565,648","-9,800,041","-2,363,559","4,042,994","-4,167,653","-1,511,732","-3,745,518","-3,693,741","-3,636,043","-4,122,033","-3,239,724","-5,467,281","-18,092,336","-3,089,703","-4,288,066","-3,122,900","-1,094,909","-1,038,429",Financials in USD,Fiscal year is January - December
Net Income,"-1,929,391","-9,565,648","-9,800,041","-2,363,559","4,042,994","-4,167,653","-1,511,732","-3,745,518","-3,693,741","-3,636,043","-4,122,033","-3,239,724","-5,467,281","-18,092,336","-3,089,703","-4,288,066","-3,122,900","-1,094,909","-1,038,429",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"751,052","777,340","1,201,867","2,528,033","1,158,051","373,796","158,333",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,680,443","-10,342,988","-11,001,908","-4,891,592","2,884,943","-4,541,449","-1,670,065","-3,745,518","-3,693,741","-3,636,043","-4,122,033","-3,239,724","-5,467,281","-18,092,336","-3,089,703","-4,288,066","-3,122,900","-1,094,909","-1,038,429",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,415,089","2,275,699","2,141,131","1,998,747","1,564,275","1,411,029","1,392,210","1,326,588","1,301,560","1,277,509","1,270,763","1,262,472","1,254,490","1,196,895","951,776","951,800","942,322","934,539","932,129",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,415,089","2,275,699","2,141,131","1,998,747","7,818,886","1,411,029","1,392,210","1,326,588","1,301,560","1,277,509","1,270,763","1,262,472","1,254,490","1,196,895","951,776","951,800","942,322","934,539","932,129",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-69.112%,61.279%,53.794%,50.668%,500.732%,10.452%,9.557%,5.079%,3.752%,6.735%,33.515%,32.640%,33.128%,28.073%,2.108%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.110,-4.545,-5.138,-2.447,1.844,-3.219,-1.200,-2.823,-2.838,-2.846,-3.244,-2.566,-4.358,-15.116,-3.246,-4.505,-3.314,-1.172,-1.114,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.110,-4.545,-5.138,-2.447,0.370,-3.219,-1.200,-2.823,-2.838,-2.846,-3.244,-2.566,-4.358,-15.116,-3.246,-4.505,-3.314,-1.172,-1.114,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,631,681","-2,668,510","-1,912,041","-1,932,630","-3,156,478","-3,919,875","-3,971,642","-2,248,404","-4,087,419","-3,568,063","-2,366,182","-4,812,467","-6,445,512","-6,753,314","-1,505,182","-1,248,182","-1,285,277","-1,065,044","-1,065,044",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.504,-1.173,-0.893,-0.967,-0.404,-2.778,-2.853,-1.695,-3.140,-2.793,-1.862,-3.812,-5.138,-5.642,-1.581,-1.311,-1.364,-1.140,-1.143,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,"-3,121,612","-4,403,619","-18,233,124","-2,424,555","-3,674,081","-2,904,804","-850,440","-844,235",Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,"4,584","4,584","4,584","4,584","4,584","4,583","4,584","4,584",Financials in USD,Fiscal year is January - December
EBIT,"-1,825,639","-1,861,043","-2,784,623","-4,908,513","-3,842,588","-5,781,632","-1,827,485","-3,808,039","-3,709,893","-3,642,977","-4,121,853","-3,126,196","-4,408,203","-18,237,708","-2,429,139","-3,678,665","-2,909,387","-855,024","-848,819",Financials in USD,Fiscal year is January - December
