Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020,Currency,Fiscal_Year_period
Free Cash Flow Per Share,-0.167,-0.238,-0.163,-0.267,-0.139,-0.232,-0.240,-0.166,-0.248,-0.264,0.308,0.112,-0.258,-0.267,-0.319,-0.211,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,100.000%,-,-,-,100.000%,100.000%,100.000%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-101437.500%,-,-,-,-3801.176%,-4550.000%,57.673%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-98125.000%,-,-,-,-6096.471%,-5139.706%,44.627%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-54800.000%,-,-,-,-2764.118%,-2232.353%,-22.755%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-6,885,000","-6,854,000","-8,031,000","-6,906,000","-5,174,000","-5,260,000","-6,326,000","-2,956,000","6,482,000","-2,660,000","-3,326,000","-3,258,000","-2,468,000","-5,819,000","-2,515,000","-3,248,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,58.927%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"56,000","38,000","84,000","95,000","133,000","135,000","136,000","138,000","138,000","139,000","138,000","138,000","138,000","138,000","139,000","138,000",Financials in USD,Fiscal year is January - December
EBIT,"-6,941,000","-6,892,000","-8,115,000","-7,001,000","-5,307,000","-5,395,000","-6,462,000","-3,094,000","6,344,000","-2,799,000","-3,464,000","-3,396,000","-2,606,000","-5,957,000","-2,654,000","-3,386,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,57.673%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,18.306%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
