Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Net Income,"-25,174,000","-17,607,000","-13,748,000","-10,563,000","-14,763,000","-11,140,000","-7,089,000","-10,116,000","-7,784,000","-5,695,000","-4,881,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-25,174,000","-17,607,000","-13,748,000","-10,563,000","-14,763,000","-11,140,000","-7,089,000","-10,116,000","-7,784,000","-5,695,000","-4,881,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"34,236,728","34,227,038","25,665,475","14,817,676","3,906,886","874,900","874,709","874,522","874,327","4,008,764","4,007,884",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"34,236,728","34,227,038","25,665,475","14,817,676","3,906,886","874,900","874,709","874,522","874,327","4,008,764","4,007,884",Financials in USD,Fiscal year is January - December
Shares Change (YoY),776.318%,3812.109%,2834.173%,1594.374%,346.845%,-78.175%,-78.175%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.735,-0.514,-0.536,-0.713,-3.779,-12.733,-8.104,-11.567,-8.903,-1.421,-1.218,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.735,-0.514,-0.536,-0.713,-3.779,-12.733,-8.104,-11.567,-8.903,-1.421,-1.218,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,292,000","-14,545,000","-14,973,000","-11,864,000","-10,057,000","-4,752,000","-10,298,000","-8,880,000","-7,798,000","-7,194,000","-5,337,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.622,-0.425,-0.583,-0.801,-2.574,-5.431,-11.773,-10.154,-8.919,-1.795,-1.332,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-1376.611%,-1191.841%,-2041.648%,-2835.011%,-1705.519%,-1215.273%,-1614.076%,-910.043%,-703.666%,-182.459%,-567.861%,Financials in USD,Fiscal year is January - December
Profit Margin,-1159.024%,-945.089%,-1572.998%,-2311.379%,-1597.727%,-1149.639%,-1489.286%,-860.936%,-663.598%,-177.747%,-564.277%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-980.295%,-780.730%,-1713.158%,-2596.061%,-1088.420%,-490.402%,-2163.445%,-755.745%,-664.791%,-224.532%,-616.994%,Financials in USD,Fiscal year is January - December
EBITDA,"-29,875,000","-22,181,000","-17,822,000","-12,936,000","-15,740,000","-11,762,000","-7,669,000","-10,682,000","-8,244,000","-5,840,000","-4,909,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-182.272%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"25,000","23,000","22,000","20,000","19,000","14,000","14,000","11,000","10,000","6,000","3,000",Financials in USD,Fiscal year is January - December
EBIT,"-29,900,000","-22,204,000","-17,844,000","-12,956,000","-15,759,000","-11,776,000","-7,683,000","-10,693,000","-8,254,000","-5,846,000","-4,912,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-182.459%,-,Financials in USD,Fiscal year is January - December
