Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-48,910,000","-54,543,000","-55,276,000","-24,909,000","-29,556,000","-25,840,000","-22,789,000","-22,657,000","-15,659,000","-9,527,000",Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"43,000",-,"-1,000",Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"-651,000",-,"1,791,000",-,"-145,000",Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-9,000","1,000","8,000",-,-,-,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,-,"280,000","-100,000",-,-,"2,863,000",-,-,Financials in EUR,Fiscal year is January - December
Other Unusual Items,-,-,-,"-180,000","180,000",-,-,-,-,-,Financials in EUR,Fiscal year is January - December
Pretax Income,"-48,910,000","-54,543,000","-55,276,000","-24,809,000","-29,485,000","-26,490,000","-22,781,000","-17,960,000","-15,659,000","-9,673,000",Financials in EUR,Fiscal year is January - December
Income Tax Expense,"119,000","614,000","-7,000","-1,000","-19,000","9,000","355,000",-,-,-,Financials in EUR,Fiscal year is January - December
Net Income,"-49,029,000","-55,157,000","-55,269,000","-24,808,000","-29,466,000","-26,499,000","-23,136,000","-17,960,000","-15,659,000","-9,673,000",Financials in EUR,Fiscal year is January - December
Net Income to Common,"-49,029,000","-55,157,000","-55,269,000","-24,808,000","-29,466,000","-26,499,000","-23,136,000","-17,960,000","-15,659,000","-9,673,000",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"51,982,093","48,658,802","42,044,796","42,035,007","40,864,457","39,659,117","38,677,187","29,072,315","38,677,187","24,879,346",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"51,982,093","48,658,802","42,044,796","42,035,007","40,864,457","39,659,117","38,677,187","29,072,315","38,677,187","24,879,346",Financials in EUR,Fiscal year is January - December
Shares Change (YoY),23.635%,15.758%,2.888%,5.991%,5.655%,36.415%,-,16.853%,74.533%,11.960%,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.943,-1.134,-1.315,-0.590,-0.721,-0.668,-0.598,-0.618,-0.405,-0.389,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.943,-1.134,-1.315,-0.590,-0.721,-0.668,-0.598,-0.618,-0.405,-0.389,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-48,597,000","-36,691,000","-45,463,000","-18,972,000","-26,517,000","-28,213,000","-19,950,000","-23,710,000","-7,172,000","-9,697,000",Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.935,-0.754,-1.081,-0.451,-0.649,-0.711,-0.516,-0.816,-0.185,-0.390,Financials in EUR,Fiscal year is January - December
Operating Margin,-1911.083%,-288.429%,-830.580%,-153.151%,-988.768%,-448.764%,-1099.302%,-485.207%,-886.086%,-124.420%,Financials in EUR,Fiscal year is January - December
Profit Margin,-1793.307%,-333.456%,-834.627%,-160.861%,-868.691%,-417.110%,-1077.095%,-513.877%,-885.690%,-124.652%,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-1777.505%,-221.819%,-686.545%,-123.019%,-781.751%,-444.089%,-928.771%,-678.398%,-405.656%,-124.961%,Financials in EUR,Fiscal year is January - December
EBITDA,"-50,371,000","-47,985,000","-53,863,000","-23,384,000","-32,904,000","-28,186,000","-23,079,000","-16,776,000","-14,999,000","-9,383,000",Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"1,878,000","-276,000","1,138,000","235,000","635,000","324,000","534,000","182,000","667,000","272,000",Financials in EUR,Fiscal year is January - December
EBIT,"-52,249,000","-47,709,000","-55,001,000","-23,619,000","-33,539,000","-28,510,000","-23,613,000","-16,958,000","-15,666,000","-9,655,000",Financials in EUR,Fiscal year is January - December
Revenue as Reported,-,"23,163,000",-,"18,814,000",-,"8,501,000",-,"5,263,000",-,"11,291,000",Financials in EUR,Fiscal year is January - December
