Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"10,751,000","10,157,000","2,790,000","2,469,430","7,584,000","7,434,000","8,569,000","2,145,608","2,144,800","2,144,800","2,144,800",Financials in USD,Fiscal year is January - December
Shares Change (YoY),41.759%,36.629%,-67.441%,15.092%,253.599%,246.606%,299.524%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.159,0.611,-5.382,0.425,0.800,0.372,0.765,-0.279,-0.314,-0.329,-0.329,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.130,0.510,-5.382,0.425,0.230,0.112,0.200,-0.280,-0.314,-0.330,-0.330,Financials in USD,Fiscal year is January - December
EPS Growth,-43.478%,356.789%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,965,000","-8,009,000","-1,591,000","50,106","-1,143,000","-1,179,000","-709,000","-868,824","-376,207","-420,137","-420,138",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.276,-0.789,-0.570,0.020,-0.151,-0.159,-0.083,-0.405,-0.175,-0.196,-0.196,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,70.630%,-,-,-,-,-,-76.918%,-76.918%,Financials in USD,Fiscal year is January - December
Operating Margin,-37942.857%,-7580.392%,-46420.000%,7.809%,-5044.828%,-13500.000%,-3206.667%,-1209.111%,-1931.917%,-183.804%,-183.804%,Financials in USD,Fiscal year is January - December
Profit Margin,10071.429%,10203.922%,-300300.000%,34.009%,6041.379%,11542.857%,5526.667%,-1038.868%,-1988.739%,-281.913%,-281.913%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-21178.571%,-15703.922%,-31820.000%,1.623%,-3941.379%,-16842.857%,-2363.333%,-1508.296%,-1109.853%,-168.055%,-168.055%,Financials in USD,Fiscal year is January - December
EBITDA,"-5,256,000","-3,809,000","-2,296,000","263,222","-1,409,000","-928,000","-949,000","-680,217","-637,216","-445,832","-445,831",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,8.528%,-,-,-,-,-,-178.333%,-178.332%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"56,000","57,000","25,000","22,187","54,000","17,000","13,000","16,267","17,646","13,679","13,680",Financials in USD,Fiscal year is January - December
EBIT,"-5,312,000","-3,866,000","-2,321,000","241,035","-1,463,000","-945,000","-962,000","-696,484","-654,862","-459,511","-459,511",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,7.809%,-,-,-,-,-,-183.804%,-183.804%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"14,000","51,000","5,000","3,086,633","29,000","7,000","30,000","57,603","33,897","250,000","250,000",Financials in USD,Fiscal year is January - December
