Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Interest & Investment Income,"805,000","811,000","810,000","846,000","809,000","698,000","617,000","471,000","39,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,720,000","339,000","658,000","-1,841,000","1,132,000","244,000","-947,000","-3,840,000","2,515,000","3,136,000","1,112,000","1,325,000","1,637,000","-1,239,000","-150,000","301,752","-143,000","-261,000","-7,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-12,200,000","-8,211,000","-484,000","-6,437,000","-8,786,000","-12,603,000","-13,869,000","-14,848,000","983,000","-8,030,000","-9,763,000","-8,162,000","-6,889,000","-8,005,000","-19,718,000","-2,610,396","-3,360,000","-3,472,000","-3,675,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"96,000","85,000","69,000","61,000","50,000","97,000","71,000","67,000","47,000","76,000","59,000","57,000","44,000","32,000","24,000","43,000",-,"-3,000","3,000",Financials in USD,Fiscal year is January - December
Net Income,"-12,296,000","-8,296,000","-553,000","-6,498,000","-8,836,000","-12,700,000","-13,940,000","-14,915,000","936,000","-8,106,000","-9,822,000","-8,219,000","-6,933,000","-8,037,000","-19,742,000","-2,653,396","-3,360,000","-3,469,000","-3,678,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,296,000","-8,296,000","-553,000","-6,498,000","-8,836,000","-12,700,000","-13,940,000","-14,915,000","936,000","-8,106,000","-9,822,000","-8,219,000","-6,933,000","-8,037,000","-19,742,000","-2,653,396","-3,360,000","-3,469,000","-3,678,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,846,006","26,822,139","26,794,215","26,769,937","26,289,087","26,289,087","26,289,087","26,289,087","25,845,802","25,780,811","25,775,538","25,775,538","25,775,538","25,523,501","1,626,598","281,112","420,563","447,525","447,525",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,846,006","26,822,139","26,794,215","26,769,937","26,289,087","26,289,087","26,289,087","26,289,087","26,446,259","25,780,811","25,775,538","25,775,538","25,775,538","25,523,501","1,626,598","281,112","420,563","447,525","447,525",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.118%,2.028%,1.921%,1.829%,-0.594%,1.972%,1.992%,1.992%,2.602%,1.008%,1484.629%,9069.135%,6028.817%,5603.257%,263.465%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.458,-0.309,-0.021,-0.243,-0.336,-0.483,-0.530,-0.567,0.036,-0.314,-0.381,-0.319,-0.269,-0.315,-12.137,-9.439,-7.989,-7.752,-8.219,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.458,-0.309,-0.021,-0.243,-0.336,-0.483,-0.530,-0.567,0.036,-0.314,-0.381,-0.319,-0.270,-0.315,-12.137,-9.439,-7.989,-7.752,-8.219,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,653,000","-8,384,000","-1,125,000","-10,120,000","-7,113,000","-13,289,000","-8,835,000","35,470,000","-14,319,000","-9,744,000","-7,951,000","-7,602,000","-8,601,000","-8,543,000","-4,665,000","-7,005,330","-3,589,000","3,647,000","-2,350,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.322,-0.313,-0.042,-0.378,-0.271,-0.505,-0.336,1.349,-0.541,-0.378,-0.308,-0.295,-0.334,-0.335,-2.868,-24.920,-8.534,8.149,-5.251,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,100.000%,56.374%,81.132%,53.532%,24.020%,100.000%,100.000%,100.000%,100.000%,-,-219.952%,-,-,-145.004%,-298.065%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-27.918%,-1541.643%,-20239.623%,-263.573%,-1106.127%,-434.811%,-10.294%,-2366.667%,-1048.141%,-875.797%,-399.427%,-609.167%,-1943.900%,-159.549%,-377.872%,-532.770%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-7.909%,-1840.793%,-16671.698%,-247.130%,-1138.889%,-564.962%,6.133%,-1732.051%,-961.057%,-771.013%,-330.931%,-744.167%,-1974.200%,-150.401%,-406.288%,-585.980%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-16.090%,-2866.856%,-13420.755%,-258.591%,-721.814%,1343.561%,-93.827%,-2082.051%,-777.984%,-713.133%,-410.549%,-791.019%,-466.500%,-397.078%,-433.978%,616.047%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-11,169,000","-9,241,000","-1,808,000","-5,259,000","-10,575,000","-13,393,000","-13,410,000","-11,290,000","-1,466,000","-10,967,000","-10,611,000","-9,240,000","-8,281,000","-6,502,000","-19,368,000","-2,766,935","-3,071,000","-3,109,000","-3,581,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-25.858%,-,-,-260.615%,-,-,-9.606%,-,-,-,-,-,-,-156.836%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"116,000","120,000","144,000","183,000","152,000","152,000","129,000","189,000","105,000","109,000","101,000","96,000","87,000","77,000","71,000","47,862","54,000","45,000","36,000",Financials in USD,Fiscal year is January - December
EBIT,"-11,285,000","-9,361,000","-1,952,000","-5,442,000","-10,727,000","-13,545,000","-13,539,000","-11,479,000","-1,571,000","-11,076,000","-10,712,000","-9,336,000","-8,368,000","-6,579,000","-19,439,000","-2,814,797","-3,125,000","-3,154,000","-3,617,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-27.918%,-,-,-263.573%,-,-,-10.294%,-,-,-,-,-,-,-159.549%,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,4.781%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,"1,066,000","2,095,000","1,080,000","1,000,000","1,764,220","827,000","592,000",-,Financials in USD,Fiscal year is January - December
