Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"380,000","2,567,000","-1,165,000","-153,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,546,000","-14,583,000","-18,289,000","-16,269,000","-16,302,000","-17,971,000","-15,223,000","-13,922,000","-14,474,000","-18,260,000","-13,857,000","-15,990,000","-87,088,000","-1,534,000","-5,476,000","8,021,000","-2,891,000","-5,282,227","-3,323,795",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"-9,000",-,"9,000",-,-,-,"2,000",-,"1,000","1,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-12,546,000","-14,583,000","-18,289,000","-16,269,000","-16,302,000","-17,971,000","-15,223,000","-13,913,000","-14,474,000","-18,269,000","-13,857,000","-15,990,000","-87,088,000","-1,536,000","-5,476,000","8,020,000","-2,892,000","-5,282,227","-3,323,795",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,"154,000",-,-,"247,000","247,000","246,638","246,639",Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,546,000","-14,583,000","-18,289,000","-16,269,000","-16,302,000","-17,971,000","-15,223,000","-13,913,000","-14,474,000","-18,269,000","-13,857,000","-15,990,000","-87,242,000","-1,536,000","-5,476,000","7,773,000","-3,139,000","-5,528,865","-3,570,434",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,041,327","27,010,013","26,980,698","26,965,909","26,946,683","26,879,089","26,862,646","26,839,033","21,269,163","20,970,459","20,914,842","20,890,305","9,510,379","2,542,358","2,542,358","2,542,358","2,542,358","8,015,000","8,015,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,041,327","27,010,013","26,980,698","26,965,909","26,946,683","26,879,089","26,862,646","26,839,033","21,269,163","20,970,459","20,914,842","20,890,305","9,510,379","2,542,358","2,542,358","2,542,358","2,542,358","8,015,000","8,015,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.351%,0.487%,0.439%,0.473%,26.694%,28.176%,28.438%,28.476%,123.642%,724.843%,722.655%,721.690%,274.077%,-68.280%,-68.280%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.464,-0.540,-0.678,-0.603,-0.605,-0.669,-0.567,-0.518,-0.681,-0.871,-0.663,-0.765,-9.173,-0.604,-2.154,3.057,-1.235,-0.690,-0.445,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.464,-0.540,-0.678,-0.603,-0.605,-0.669,-0.567,-0.518,-0.681,-0.871,-0.663,-0.765,-9.173,-0.604,-2.154,3.057,-1.235,-0.690,-0.445,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,875,000","-9,698,000","-20,392,000","-10,460,000","-13,049,000","-17,447,000","-22,679,000","-11,388,000","-8,297,000","-10,961,000","-19,438,000","-12,474,000","-17,373,000","-3,185,000","10,563,000","-3,275,000","-3,034,155","-1,922,233","-4,469,612",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.587,-0.359,-0.756,-0.388,-0.484,-0.649,-0.844,-0.424,-0.390,-0.523,-0.929,-0.597,-1.827,-1.253,4.155,-1.288,-1.193,-0.240,-0.558,Financials in USD,Fiscal year is January - December
Gross Margin,-49.764%,-124.486%,-166.112%,-116.487%,-111.227%,-125.266%,-95.756%,-83.509%,-120.636%,-134.710%,-202.254%,-,-,-,-,62.372%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-149.404%,-252.209%,-364.506%,-280.019%,-299.530%,-315.140%,-286.773%,-296.002%,-354.205%,-425.836%,-598.786%,-1594.500%,-,-,-3405.833%,59.396%,-1152.814%,-5689.711%,-2897.417%,Financials in USD,Fiscal year is January - December
Profit Margin,-173.960%,-236.009%,-341.659%,-257.177%,-273.569%,-289.761%,-259.468%,-266.176%,-340.966%,-531.539%,-600.650%,-1599.000%,-,-,-4563.333%,54.937%,-1358.874%,-6185.451%,-3229.467%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-220.119%,-156.951%,-380.945%,-165.349%,-218.980%,-281.312%,-386.552%,-217.869%,-195.453%,-318.912%,-842.566%,-1247.400%,-,-,8802.500%,-23.147%,-1313.487%,-2150.510%,-4042.776%,Financials in USD,Fiscal year is January - December
EBITDA,"-10,728,000","-15,535,000","-19,462,000","-17,670,000","-17,805,000","-19,502,000","-16,787,000","-15,426,000","-15,024,000","-14,609,000","-13,740,000","-15,873,000","-13,126,000","-3,873,000","-4,085,000","8,406,000","-2,660,482","-5,083,507","-3,201,085",Financials in USD,Fiscal year is January - December
EBITDA Margin,-148.752%,-251.416%,-,-279.323%,-298.792%,-,-286.126%,-295.121%,-,-,-,-,-,-,-,59.410%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"47,000","49,000","50,000","44,000","44,000","43,000","38,000","46,000","12,000","27,000","74,000","72,000","29,000","2,000","2,000","2,000","2,518","2,241","2,241",Financials in USD,Fiscal year is January - December
EBIT,"-10,775,000","-15,584,000","-19,512,000","-17,714,000","-17,849,000","-19,545,000","-16,825,000","-15,472,000","-15,036,000","-14,636,000","-13,814,000","-15,945,000","-13,155,000","-3,875,000","-4,087,000","8,404,000","-2,663,000","-5,085,748","-3,203,326",Financials in USD,Fiscal year is January - December
EBIT Margin,-149.404%,-252.209%,-,-280.019%,-299.530%,-,-286.773%,-296.002%,-,-,-,-,-,-,-,59.396%,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.012%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"7,212,000","6,179,000","5,353,000","6,326,000","5,959,000","6,202,000","5,867,000","5,227,000","4,245,000","3,437,000","2,307,000","1,000,000",-,-,"120,000","14,149,000","231,000","89,385","110,558",Financials in USD,Fiscal year is January - December
