Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Net Income,"-12,616,281","-6,507,183","-5,774,578","-8,031,937","-6,263,502","-6,583,559","-6,747,491","-8,561,862","-7,816,542","-5,640,258",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-12,616,281","-6,507,183","-5,774,578","-8,031,937","-6,263,502","-6,583,559","-6,747,491","-8,561,862","-7,816,542","-5,640,258",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"4,794,472,043","2,503,279,085","2,443,541,891","2,412,141,943","2,406,869,745","2,405,110,327","2,070,320,276","1,323,432,372","921,416,467","868,327,981",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"4,794,472,043","2,503,279,085","2,443,541,891","2,412,141,943","2,406,869,745","2,405,110,327","2,070,320,276","1,323,432,372","921,416,467","868,327,981",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),96.210%,3.778%,1.524%,0.292%,16.256%,81.733%,124.689%,52.412%,32.625%,61.763%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.003,-0.006,-0.008,-0.006,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.003,-0.006,-0.008,-0.006,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-8,110,884","-4,500,662","-10,113,650","-9,929,498","-3,751,808","-8,674,613","-10,007,741","-7,332,800","-6,854,741","-2,593,125",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.002,-0.002,-0.004,-0.004,-0.002,-0.004,-0.005,-0.006,-0.007,-0.003,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-612.906%,-348.402%,-408.146%,-351.637%,-278.489%,-330.776%,-342.848%,-411.891%,-,-311.681%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-595.512%,-342.353%,-377.302%,-336.650%,-226.583%,-279.059%,-274.704%,-454.614%,-,-304.029%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-382.849%,-236.787%,-660.810%,-416.185%,-135.722%,-367.693%,-407.436%,-389.354%,-,-139.778%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-12,967,798","-6,603,805","-6,228,465","-8,369,823","-7,687,087","-7,797,052","-8,415,052","-7,744,830","-8,135,887","-5,767,826",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"16,989","18,355","18,182","19,672","11,246","6,602","6,245","12,417","11,598","14,390",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-12,984,787","-6,622,160","-6,246,647","-8,389,495","-7,698,333","-7,803,654","-8,421,297","-7,757,247","-8,147,485","-5,782,216",Upgrade,Financials in AUD,Fiscal year is July - June
