Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Interest & Investment Income,"77,000","67,000","110,000","115,000","23,000","66,000","116,000","210,000","108,000","41,000","6,000","8,000","55,000","129,000","140,000","134,000","92,000","32,000","112,000","197,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,896,000","5,239,000","-9,772,000","22,128,000","6,085,000","-3,601,000","-22,381,000","9,274,000","10,320,000","43,627,000","-21,259,000","11,682,000","39,828,000","-3,178,000","-36,532,000","-6,624,000","-36,456,000","2,459,000","-13,969,000","-3,093,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,098,000","-6,421,000","-18,186,000","10,734,000","-11,162,000","-24,479,000","-52,036,000","-22,257,000","-28,461,000","2,796,000","-58,018,000","-14,801,000","1,389,000","-54,429,000","-60,883,000","-25,589,000","-55,075,000","-20,873,000","-33,128,000","-22,918,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-7,186,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-82,714,000",-,"-29,633,000","-3,610,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,434,000",-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-129,400,000",-,-,-,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,"-5,333,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-67,000","-3,827,000","-1,177,000",-,"84,330,000","17,652,000","50,314,000","33,243,000","45,047,000","-4,849,000","23,300,000","48,549,000","-10,048,000","-20,656,000","29,430,000","142,599,000","-114,738,000","-1,725,000","-12,343,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-16,098,000","-6,488,000","-22,013,000","9,557,000","-93,876,000","-47,949,000","-64,017,000","24,447,000","4,782,000","47,843,000","-62,867,000","-4,020,000","49,938,000","-64,477,000","-81,539,000","3,841,000","-46,310,000","-135,611,000","-34,853,000","-35,261,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"10,000",-,-,-,"13,000","-17,000","17,000",-,"20,000",-,-,-,"-69,000","15,000","7,000","-4,653,000","-13,030,000",Financials in USD,Fiscal year is January - December
Net Income,"-16,098,000","-6,488,000","-22,013,000","9,547,000","-93,876,000","-47,949,000","-64,017,000","24,434,000","4,799,000","47,826,000","-62,867,000","-4,040,000","49,938,000","-64,477,000","-81,539,000","3,910,000","-46,325,000","-135,618,000","-30,200,000","-22,231,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,098,000","-6,488,000","-22,013,000","9,547,000","-93,876,000","-47,949,000","-64,017,000","24,434,000","4,799,000","47,826,000","-62,867,000","-4,040,000","49,938,000","-64,477,000","-81,539,000","3,910,000","-46,325,000","-135,618,000","-30,200,000","-22,231,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-60.927%,-,-,-,-,-90.390%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"21,976,339","21,849,759","21,440,980","19,191,337","18,831,713","17,656,390","15,536,501","14,626,517","14,267,695","14,015,225","13,039,881","12,412,384","10,636,991","2,399,218","2,399,006","1,843,336","1,841,608","2,395,556","2,395,291","2,394,969",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"21,976,339","21,849,759","21,440,980","19,191,337","18,831,713","17,656,390","15,536,501","18,595,713","15,054,627","15,131,178","13,039,881","12,412,384","12,358,282","2,399,218","2,399,006","1,843,336","1,841,608","2,395,556","2,395,291","2,394,969",Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.699%,23.750%,38.004%,3.203%,25.089%,16.689%,19.146%,49.816%,21.818%,530.671%,443.553%,573.365%,571.059%,0.153%,0.155%,-23.033%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.733,-0.297,-1.027,0.497,-4.985,-2.716,-4.120,1.671,0.336,3.412,-4.821,-0.325,4.695,-26.874,-33.989,2.121,-25.155,-56.612,-12.608,-9.282,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.733,-0.297,-1.027,0.497,-4.985,-2.716,-4.120,1.284,0.300,3.200,-4.821,-0.325,4.000,-26.874,-33.989,2.106,-25.200,-56.612,-12.608,-9.282,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-61.260%,-,-,-,-,-92.500%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-179,000","-3,479,000","-4,442,000","-4,921,000","-8,550,000","-11,058,000","-15,204,000","-30,364,000","-39,283,000","-37,758,000","-35,707,000","-34,348,000","-35,884,000","-19,508,000","-26,559,000","-26,203,000","-17,490,000","-18,083,000","-29,251,000","-36,354,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.008,-0.159,-0.207,-0.256,-0.454,-0.626,-0.979,-1.633,-2.609,-2.495,-2.738,-2.767,-2.904,-8.131,-11.071,-14.215,-9.497,-7.549,-12.212,-15.179,Financials in USD,Fiscal year is January - December
Gross Margin,58.229%,82.470%,88.829%,20.665%,4.860%,72.703%,49.098%,-27.077%,-74.438%,15.810%,32.165%,4.036%,78.243%,54.958%,53.308%,63.922%,69.210%,57.028%,70.604%,72.549%,Financials in USD,Fiscal year is January - December
Operating Margin,-124.000%,-84.015%,-50.242%,-89.548%,-430.507%,-675.289%,-749.530%,-768.733%,-940.484%,-1082.415%,-619.461%,-529.901%,-354.462%,-1581.576%,-892.444%,-566.605%,-536.662%,-646.313%,-457.961%,-388.701%,Financials in USD,Fiscal year is January - December
Profit Margin,-173.171%,-53.571%,-149.942%,78.823%,-2479.556%,-1632.029%,-1626.861%,591.766%,116.058%,1266.578%,-1059.259%,-83.196%,470.137%,-2016.797%,-3065.376%,120.567%,-1380.775%,-3906.048%,-717.681%,-431.586%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1.926%,-28.726%,-30.257%,-40.629%,-225.832%,-376.378%,-386.379%,-735.384%,-950.012%,-999.947%,-601.634%,-707.331%,-337.827%,-610.197%,-998.459%,-807.986%,-521.311%,-520.824%,-695.128%,-705.766%,Financials in USD,Fiscal year is January - December
EBITDA,"-9,633,000","-8,179,000","-5,220,000","-8,550,000","-13,956,000","-17,518,000","-27,131,000","-29,302,000","-36,495,000","-38,553,000","-34,481,000","-23,126,000","-35,307,000","-48,632,000","-21,803,000","-16,542,000","-15,710,000","-20,072,000","-17,593,000","-18,525,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-103.625%,-67.534%,-35.556%,-70.591%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,894,000","1,996,000","2,156,000","2,296,000","2,343,000","2,322,000","2,363,000","2,439,000","2,394,000","2,319,000","2,284,000","2,606,000","2,344,000","1,931,000","1,936,000","1,833,000","2,295,000","2,368,000","1,678,000","1,497,000",Financials in USD,Fiscal year is January - December
EBIT,"-11,527,000","-10,175,000","-7,376,000","-10,846,000","-16,299,000","-19,840,000","-29,494,000","-31,741,000","-38,889,000","-40,872,000","-36,765,000","-25,732,000","-37,651,000","-50,563,000","-23,739,000","-18,375,000","-18,005,000","-22,440,000","-19,271,000","-20,022,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-123.999%,-84.014%,-50.242%,-89.547%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,0.105%,-,-,-,0.053%,-,0.035%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"9,296,000","12,111,000","14,681,000","12,112,000","3,786,000","2,938,000","3,935,000","4,129,000","4,135,000","3,776,000","5,935,000","4,856,000","10,622,000","3,197,000","2,660,000","3,243,000","3,355,000","3,472,000","4,208,000","5,151,000",Financials in USD,Fiscal year is January - December
