Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Net Income to Common,"-28,059,000","-5,959,000","-14,760,000","-11,758,000","-11,568,000","-17,508,000","-17,459,000","-16,065,000","-16,696,000","-16,888,000","-13,410,000","-13,416,000","-10,766,000","-6,206,000","-2,284,000","-1,655,000","-1,256,000","-2,460,000","-1,413,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"54,628,670","54,451,666","49,049,741","46,683,613","45,708,649","41,836,238","41,763,971","41,584,195","41,526,524","41,448,743","41,315,482","41,208,323","41,134,102","10,033,328","1,111,178","1,004,126","943,634","890,916","821,271",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"54,628,670","54,451,666","49,049,741","46,683,613","45,708,649","41,836,238","41,763,971","41,584,195","41,526,524","41,448,743","41,315,482","41,208,323","41,134,102","10,033,328","1,111,178","1,004,126","943,634","890,916","821,271",Financials in USD,Fiscal year is January - December
Shares Change (YoY),19.515%,30.154%,17.445%,12.263%,10.071%,0.935%,1.086%,0.912%,0.954%,313.111%,3618.170%,4003.900%,4259.116%,1026.181%,35.300%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.514,-0.109,-0.301,-0.252,-0.253,-0.418,-0.418,-0.386,-0.402,-0.407,-0.325,-0.326,-0.262,-0.619,-2.055,-1.648,-1.331,-2.761,-1.721,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.514,-0.109,-0.301,-0.252,-0.253,-0.418,-0.418,-0.386,-0.402,-0.407,-0.325,-0.326,-0.262,-0.619,-2.055,-1.648,-1.331,-2.761,-1.721,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,256,000","-10,116,000","-15,034,000","-10,416,000","-12,179,000","-15,634,000","-14,196,000","-13,969,000","-15,934,000","-6,971,000","-12,493,000","-11,654,000","-5,931,000","-6,283,000","5,410,000","-1,629,000","-1,083,000","-781,000","-876,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.041,-0.186,-0.307,-0.223,-0.266,-0.374,-0.340,-0.336,-0.384,-0.168,-0.302,-0.283,-0.144,-0.626,4.869,-1.622,-1.148,-0.877,-1.067,Financials in USD,Fiscal year is January - December
Gross Margin,-,-67.450%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-8164.465%,-155.356%,-1610.304%,-655.709%,-628.248%,-1962.914%,-990.283%,-642.039%,-994.043%,-729.852%,-852.234%,-834.777%,-940.725%,-1297.095%,-601.053%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-6391.572%,-66.978%,-1178.914%,-477.773%,-459.595%,-1656.386%,-852.490%,-564.675%,-920.905%,-714.080%,-843.927%,-830.198%,-928.904%,-1287.552%,-601.053%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-513.895%,-113.701%,-1200.799%,-423.243%,-483.870%,-1479.092%,-693.164%,-491.002%,-878.875%,-294.757%,-786.218%,-721.163%,-511.734%,-1303.527%,1423.684%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-35,332,000","-13,316,000","-19,629,000","-15,606,000","-15,313,000","-20,277,000","-19,828,000","-17,863,000","-17,773,000","-17,153,000","-13,461,000","-13,426,000","-10,876,000","-6,239,000","-2,275,000","-1,646,000","-1,255,000","-1,105,000","-824,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-149.668%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"510,000","506,000","532,000","531,000","500,000","471,000","453,000","403,000","249,000","108,000","81,000","64,000","27,000","13,000","9,000","9,000","1,000","1,000","2,000",Financials in USD,Fiscal year is January - December
EBIT,"-35,842,000","-13,822,000","-20,161,000","-16,137,000","-15,813,000","-20,748,000","-20,281,000","-18,266,000","-18,022,000","-17,261,000","-13,542,000","-13,490,000","-10,903,000","-6,252,000","-2,284,000","-1,655,000","-1,256,000","-1,106,000","-826,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-155.356%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
