Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Income Tax Expense,"-2,708,000","-1,898,000","-2,617,000","-5,975,000","-3,304,000","-3,436,000","-1,029,000","2,817,000","-2,313,000","-2,290,000","-1,941,000","-736,000","-1,916,000","-2,019,000","-2,328,000","-2,237,000","-1,618,000",Financials in USD,Fiscal year is January - December
Net Income,"-16,373,000","-13,631,000","-18,961,000","-14,053,000","-15,738,000","-14,728,000","-6,100,000","6,820,000","-12,596,000","-10,276,000","-6,282,000","-3,072,000","-7,890,000","-8,625,000","-8,040,000","-159,000","-6,685,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,373,000","-13,631,000","-18,961,000","-14,053,000","-15,738,000","-14,728,000","-6,100,000","6,820,000","-12,596,000","-10,276,000","-6,282,000","-3,072,000","-7,890,000","-8,625,000","-8,040,000","-159,000","-6,685,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"102,393,000","101,456,000","100,755,000","100,162,000","99,905,000","99,493,000","99,158,000","93,350,000","82,612,000","82,612,000","82,612,000","82,612,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"102,393,000","101,456,000","100,755,000","100,162,000","99,905,000","99,493,000","99,158,000","93,712,000","82,612,000","82,612,000","82,612,000","82,612,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.490%,1.973%,1.611%,6.883%,20.933%,20.434%,20.029%,13.436%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.160,-0.134,-0.188,-0.140,-0.158,-0.148,-0.062,0.073,-0.152,-0.124,-0.076,-0.037,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.160,-0.134,-0.188,-0.140,-0.158,-0.148,-0.062,0.073,-0.152,-0.124,-0.076,-0.037,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,730,000","-12,933,000","-17,958,000","-9,228,000","-6,688,000","-10,835,000","27,454,000","-12,159,000","-8,147,000","-8,142,000","7,693,000","-5,962,000","-5,680,000","950,000","950,000","1,551,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.066,-0.127,-0.178,-0.092,-0.067,-0.109,0.277,-0.130,-0.099,-0.099,0.093,-0.072,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-473.730%,-247.294%,-593.344%,-430.112%,-370.915%,-277.930%,-49.962%,25.305%,-218.770%,-172.260%,-90.055%,-21.708%,-156.221%,-204.261%,-155.098%,-3.721%,-166.493%,Financials in USD,Fiscal year is January - December
Profit Margin,-392.450%,-179.025%,-498.842%,-291.435%,-287.347%,-212.036%,-36.054%,19.296%,-182.287%,-142.742%,-65.281%,-20.105%,-125.697%,-154.432%,-121.901%,-1.193%,-134.049%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-161.314%,-169.858%,-472.455%,-191.373%,-122.111%,-155.989%,162.267%,-34.401%,-117.902%,-113.099%,79.944%,-39.018%,-90.489%,17.010%,14.404%,11.637%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-14,837,000","-12,728,000","-17,604,000","-15,806,000","-15,471,000","-14,445,000","-3,594,000","13,764,000","-10,615,000","-7,912,000","-4,228,000","-844,000","-3,511,000","-7,666,000","-6,487,500","3,035,000","-5,271,003",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-167.166%,-,-,-282.472%,-207.961%,-21.242%,38.942%,-153.618%,-109.904%,-43.936%,-5.524%,-55.934%,-137.261%,-98.362%,22.772%,-105.695%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,927,000","6,101,000","4,949,000","4,934,000","4,844,000","4,860,000","4,859,000","4,820,000","4,502,000","4,489,000","4,438,000","2,473,000","6,295,000","3,742,000","3,742,000","3,531,000","3,031,997",Financials in USD,Fiscal year is January - December
EBIT,"-19,764,000","-18,829,000","-22,553,000","-20,740,000","-20,315,000","-19,305,000","-8,453,000","8,944,000","-15,117,000","-12,401,000","-8,666,000","-3,317,000","-9,806,000","-11,408,000","-10,229,500","-496,000","-8,303,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-247.294%,-,-,-,-277.930%,-49.962%,25.305%,-218.770%,-172.260%,-90.055%,-21.708%,-156.221%,-204.261%,-155.098%,-3.721%,-166.493%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,29.231%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"4,172,000","7,614,000","3,801,000","4,822,000","5,477,000","6,946,000","16,919,000","35,345,000","6,910,000","7,199,000","9,623,000","15,280,000","6,277,000","5,585,000","6,595,500","13,328,000","4,987,000",Financials in USD,Fiscal year is January - December
