Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Free Cash Flow,"-3,273,000","-4,762,000","-3,102,000","-4,161,000","-4,559,000","-4,693,000","-5,890,000","-2,374,000","-4,612,000","-3,353,000","-4,199,000","-1,593,000","-2,389,000","-2,952,000","-3,032,000","-492,000","-246,000","-1,229,000","-528,000","168,731",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.240,-0.732,-1.234,-1.762,-2.153,-2.224,-2.800,-1.130,-2.196,-1.601,-2.008,-0.796,-1.250,-1.553,-1.733,-0.307,-0.153,-0.770,-,0.826,Financials in USD,Fiscal year is January - December
Gross Margin,88.228%,73.504%,60.036%,-3.175%,36.000%,42.857%,27.240%,-45.455%,34.717%,34.335%,44.594%,33.014%,70.690%,42.536%,39.628%,44.831%,20.000%,12.785%,47.541%,32.943%,Financials in USD,Fiscal year is January - December
Operating Margin,-601.423%,-747.863%,-746.350%,-8598.413%,-3440.667%,-2632.258%,-1690.323%,-4078.512%,-1957.358%,-905.794%,-917.297%,-1901.435%,-2114.224%,-1035.174%,-919.681%,-117.203%,-51.367%,-139.954%,-12.471%,-25.717%,Financials in USD,Fiscal year is January - December
Profit Margin,-590.944%,-2545.726%,-740.511%,-9568.254%,-3936.000%,-2595.392%,-1665.591%,-3683.471%,-1978.868%,-1206.867%,-948.649%,-1946.890%,-2092.672%,-1024.540%,-827.394%,-114.915%,-50.295%,-138.813%,-12.471%,-25.699%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-423.415%,-1017.521%,-566.058%,-6604.762%,-3039.333%,-2162.673%,-2111.111%,-1961.983%,-1740.377%,-719.528%,-1134.865%,-762.201%,-1029.741%,-603.681%,-806.383%,-41.695%,-13.190%,-140.297%,-30.913%,9.154%,Financials in USD,Fiscal year is January - December
EBITDA,"-4,414,000","-3,271,000","-3,838,000","-5,181,000","-4,929,000","-5,472,000","-4,478,000","-4,699,000","-4,947,000","-3,992,000","-3,206,000","-3,742,000","-4,669,000","-4,811,000","-3,263,000","-1,188,000","-760,000","-1,029,000","-18,000","-279,261",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100.678%,-40.751%,-117.466%,-1.054%,-15.150%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"235,000","229,000","252,000","236,000","232,000","240,000","238,000","236,000","240,000","229,000","188,000","232,000","236,000","251,000","195,000","195,000","198,000","197,000","195,000","194,774",Financials in USD,Fiscal year is January - December
EBIT,"-4,649,000","-3,500,000","-4,090,000","-5,417,000","-5,161,000","-5,712,000","-4,716,000","-4,935,000","-5,187,000","-4,221,000","-3,394,000","-3,974,000","-4,905,000","-5,062,000","-3,458,000","-1,383,000","-958,000","-1,226,000","-213,000","-474,035",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-117.203%,-51.367%,-139.954%,-12.471%,-25.717%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"773,000","468,000","548,000","63,000","150,000","217,000","279,000","121,000","265,000","466,000","370,000","209,000","232,000","489,000","376,000","1,180,000","1,865,000","876,000","1,708,000","1,843,257",Financials in USD,Fiscal year is January - December
