Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"661,769","-1,967,793","-3,116,563","-3,504,361","-2,690,806","-2,239,302","-2,338,285","-5,100,456","-11,942,201","-6,941,721","-2,015,461","-7,237,239","-17,199,474","-957,611","-911,692","18,340","1,550,506","-706,474","-1,023,247",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"146,479","-377,620","2,086,636","-981,399","1,064,536","-2,799,885",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"661,769","-1,967,793","-3,116,563","-3,504,361","-2,690,806","-2,239,302","-2,191,806","-5,478,076","-9,855,565","-7,923,120","-950,925","-10,037,124","-17,199,474","-957,611","-911,692","18,340","1,550,506","-706,474","-1,023,247",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"661,769","-1,967,793","-3,116,563","-3,504,361","-2,690,806","-2,239,302","-2,191,806","-5,478,076","-9,855,565","-7,923,120","-950,925","-10,037,124","-17,199,474","-957,611","-911,692","18,340","1,550,506","-706,474","-1,023,247",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,74,965,"1,235","7,060","3,941","-12,226","21,492","26,309",-182,214,"35,948","22,067","3,961","195,655","20,014","1,976",-,Financials in USD,Fiscal year is January - December
Net Income,"661,769","-1,967,793","-3,116,489","-3,503,396","-2,689,571","-2,232,242","-2,187,865","-5,490,302","-9,834,073","-7,896,811","-951,107","-10,036,910","-17,163,526","-935,544","-907,731","213,995","1,570,520","-704,498","-1,023,247",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,290,899,-,"3,729","8,309","31,606","63,539","102,479","715,579","803,140",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"661,769","-1,967,793","-3,116,779","-3,504,295","-2,689,571","-2,235,971","-2,196,174","-5,521,908","-9,897,612","-7,999,290","-1,666,686","-10,840,050","-17,163,526","-935,544","-907,731","213,995","1,570,520","-704,498","-1,023,247",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"659,360","587,821","379,631","206,743","205,725","151,608","70,280","20,209","10,715",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"659,360","587,821","379,631","206,743","205,725","151,608","70,280","20,209","10,715",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),220.506%,287.724%,440.169%,923.024%,1819.972%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),1.004,-3.348,-8.210,-16.950,-13.074,-14.748,-31.249,-273.240,-923.716,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),1.004,-3.348,-8.210,-16.950,-13.074,-14.748,-31.249,-273.240,-923.716,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,020,316","-2,309,891","-3,408,403","-1,801,875","-2,262,646","-3,108,542","-3,606,919","-3,295,620","-6,714,311","-4,440,494","-3,437,014","-3,767,813","-3,824,903","-132,312","-517,149","-530,168","-156,601","-257,155","-303,418",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.547,-3.930,-8.978,-8.716,-10.998,-20.504,-51.322,-163.077,-626.627,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,50.548%,-,-154.775%,-,-,-235.131%,-127.449%,-,-,-,-,-33.789%,-42.789%,-4.207%,-13.490%,-200.938%,-7.896%,23.041%,2.717%,Financials in USD,Fiscal year is January - December
Operating Margin,18.859%,-1075.618%,-602.823%,-612.716%,-621.828%,-467.703%,-324.357%,-432.574%,-2206.301%,-3400.563%,-796.355%,-122.715%,-1406.277%,-92.824%,-209.227%,-262.511%,-48.907%,7.622%,-29.483%,Financials in USD,Fiscal year is January - December
Profit Margin,19.356%,-1082.412%,-1019.481%,-680.403%,-617.753%,-455.881%,-278.125%,-385.215%,-3543.074%,-3855.618%,-276.354%,-662.882%,-1429.322%,-210.464%,-362.258%,51.381%,189.759%,-38.609%,-118.651%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-29.844%,-1270.588%,-1114.870%,-349.857%,-519.695%,-633.786%,-456.783%,-229.906%,-2403.539%,-2140.296%,-569.893%,-230.406%,-318.525%,-29.765%,-206.384%,-127.295%,-18.921%,-14.093%,-35.183%,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,"-6,200,748","-6,163,287","-7,055,145","-4,802,766","-2,006,745","-16,886,745","-412,567","-524,222","-1,093,278","-404,725","139,131","-254,213",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-122.715%,-,-92.813%,-209.207%,-262.499%,-48.901%,7.625%,-29.477%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,38,38,38,38,-,50,50,51,52,49,50,50,Financials in USD,Fiscal year is January - December
EBIT,"644,746","-1,955,442","-1,842,964","-3,155,685","-2,707,314","-2,293,954","-2,561,235","-6,200,786","-6,163,325","-7,055,183","-4,802,804","-2,006,745","-16,886,795","-412,617","-524,273","-1,093,330","-404,774","139,081","-254,263",Financials in USD,Fiscal year is January - December
EBIT Margin,18.858%,-,-,-,-,-,-,-,-,-,-,-122.715%,-,-92.824%,-209.227%,-262.511%,-48.907%,7.622%,-29.483%,Financials in USD,Fiscal year is January - December
