Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Interest & Investment Income,-,-,-,"6,059,000",-,-,-,"2,357,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,664,000","2,121,000","1,711,000","-4,613,000","1,572,000","1,583,000","1,458,000","-948,000","675,000","148,000","125,000","224,000","-3,427,000","-28,114,000","-472,000","-131,000","-212,000","-5,000","-70,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,361,000","-24,750,000","-21,963,000","-22,997,000","-21,960,000","-20,326,000","-23,348,000","-19,971,000","-27,571,000","-28,950,000","-28,123,000","-26,232,000","-25,337,000","-46,815,000","-12,075,000","-4,939,000","-3,748,000","-3,008,000","-2,658,000",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-21,335,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-500,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,"-750,000","-36,000",-,-,"636,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,361,000","-24,750,000","-21,963,000","-23,497,000","-21,960,000","-41,661,000","-23,348,000","-19,971,000","-27,571,000","-28,950,000","-28,873,000","-26,268,000","-25,337,000","-46,815,000","-11,439,000","-4,939,000","-3,748,000","-3,008,000","-2,658,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"37,000",-,"12,000","48,000","34,000","11,000","7,000","-500,000","-312,000","-270,000","621,000","-1,102,000","-1,703,000","-5,617,000","-477,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-27,398,000","-24,750,000","-21,975,000","-23,545,000","-21,994,000","-41,672,000","-23,355,000","-19,471,000","-27,259,000","-28,680,000","-29,494,000","-25,166,000","-23,634,000","-41,198,000","-10,962,000","-4,939,000","-3,748,000","-3,008,000","-2,658,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,"242,000","1,047,000","995,000","780,000","9,215,000","13,967,000","11,154,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,398,000","-24,750,000","-21,975,000","-23,545,000","-21,994,000","-41,672,000","-23,355,000","-19,471,000","-27,259,000","-28,680,000","-29,494,000","-25,166,000","-23,876,000","-42,245,000","-11,957,000","-5,719,000","-12,963,000","-16,975,000","-13,812,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"113,613,488","112,934,086","99,393,333","92,573,406","92,217,234","91,827,780","91,479,452","91,321,166","91,105,265","90,669,499","90,272,205","89,768,980","73,291,288","17,641,147","16,980,074","16,332,391","15,215,747","15,215,747","15,215,747",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"113,613,488","112,934,086","99,393,333","92,573,406","92,217,234","91,827,780","91,479,452","91,321,166","91,105,265","90,669,499","90,272,205","89,768,980","73,291,288","17,641,147","16,980,074","16,332,391","15,215,747","15,215,747","15,215,747",Financials in USD,Fiscal year is January - December
Shares Change (YoY),23.202%,22.985%,8.651%,1.371%,1.221%,1.277%,1.337%,1.729%,24.306%,413.966%,431.636%,449.638%,381.681%,15.940%,11.595%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.241,-0.219,-0.221,-0.254,-0.239,-0.454,-0.255,-0.213,-0.299,-0.316,-0.327,-0.280,-0.326,-2.395,-0.704,-0.350,-0.852,-1.116,-0.908,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.241,-0.219,-0.221,-0.254,-0.239,-0.454,-0.255,-0.213,-0.299,-0.316,-0.327,-0.281,-0.326,-2.395,-0.704,-0.350,-0.852,-1.116,-0.908,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-20,780,000","-17,176,000","-17,863,000","-14,939,000","-10,668,000","-19,490,000","-20,399,000","-19,128,000","-23,913,000","-26,467,000","-28,006,000","-25,395,000","-27,367,000","-32,234,000","-13,649,000","-3,441,000","-3,443,000","-3,649,000","-2,618,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.183,-0.152,-0.180,-0.161,-0.116,-0.212,-0.223,-0.209,-0.262,-0.292,-0.310,-0.283,-0.373,-1.827,-0.804,-0.211,-0.226,-0.240,-0.172,Financials in USD,Fiscal year is January - December
Gross Margin,-18.166%,-,-,-,-31.452%,-259.727%,-,-,-,-,-,-,-,-,-,-68.512%,-193.886%,-299.291%,-233.392%,Financials in USD,Fiscal year is January - December
Operating Margin,-1698.707%,-2104.016%,-2616.704%,-7171.302%,-3132.124%,-643.095%,-1929.472%,-1354.721%,-1180.540%,-2882.934%,-3425.275%,-1808.264%,-1373.749%,-2292.857%,-1048.730%,-169.831%,-367.249%,-498.936%,-435.315%,Financials in USD,Fiscal year is January - December
Profit Margin,-1610.700%,-1948.819%,-2447.105%,-6965.976%,-2956.183%,-1237.660%,-1840.426%,-1250.546%,-1150.654%,-2862.275%,-3601.221%,-1733.196%,-1551.397%,-5802.885%,-1124.835%,-209.641%,-1415.175%,-3009.752%,-2414.685%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1221.634%,-1352.441%,-1989.198%,-4419.822%,-1433.871%,-578.854%,-1607.486%,-1228.516%,-1009.413%,-2641.417%,-3419.536%,-1748.967%,-1778.233%,-4427.747%,-1284.008%,-126.136%,-375.873%,-646.986%,-457.692%,Financials in USD,Fiscal year is January - December
EBITDA,"-25,540,000","-23,337,000","-20,082,000","-20,755,000","-19,790,000","-18,155,000","-20,981,000","-17,507,000","-24,563,000","-25,746,000","-25,147,000","-23,497,000","-18,924,000","-15,491,000","-10,672,000","-4,282,000","-3,033,000","-2,549,000","-2,306,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-156.965%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,355,000","3,384,000","3,416,000","3,484,000","3,513,000","3,498,000","3,504,000","3,586,000","3,404,000","3,141,000","2,906,000","2,759,000","2,218,000","1,201,000","476,000","351,000","331,000","265,000","184,000",Financials in USD,Fiscal year is January - December
EBIT,"-28,895,000","-26,721,000","-23,498,000","-24,239,000","-23,303,000","-21,653,000","-24,485,000","-21,093,000","-27,967,000","-28,887,000","-28,053,000","-26,256,000","-21,142,000","-16,692,000","-11,148,000","-4,633,000","-3,364,000","-2,814,000","-2,490,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-169.831%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,701,000","1,270,000","898,000","338,000","744,000","3,367,000","1,269,000","1,557,000","2,369,000","1,002,000","819,000","1,452,000","1,539,000","728,000","1,063,000","2,728,000","916,000","564,000","572,000",Financials in USD,Fiscal year is January - December
