Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-2,092,339","-3,432,596","-3,324,632","-3,324,632","692,887","-1,034,911","-1,413,130","-1,413,130","-103,671","-103,671","-4,520,233","-7,302,535","-1,580,349","-1,580,350","-1,683,415","-1,441,503","-1,752,463","-1,752,463",Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-105,786","-110,742","-194,365","-194,365","-300,000","-400,000","-500,000","-500,000","-360,000","-360,000","-620,092","-274,943","-256,253","-256,254","-362,540","-241,627","-283,880","-283,881",Financials in GBP,Fiscal year is January - December
Net Income,"-1,986,553","-3,321,854","-3,130,268","-3,130,268","992,887","-634,911","-913,130","-913,130","256,329","256,329","-3,900,141","-7,027,592","-1,324,096","-1,324,096","-1,320,875","-1,199,876","-1,468,582","-1,468,583",Financials in GBP,Fiscal year is January - December
Net Income to Common,"-1,986,553","-3,321,854","-3,130,268","-3,130,268","992,887","-634,911","-913,130","-913,130","256,329","256,329","-3,900,141","-7,027,592","-1,324,096","-1,324,096","-1,320,875","-1,199,876","-1,468,582","-1,468,583",Financials in GBP,Fiscal year is January - December
Net Income Growth,-,-,-,-,287.349%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"498,361","150,693","46,630","46,630","20,049","10,259",-,-,-,-,"10,454",-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"498,361","150,693","46,630","46,630","24,627","10,259",-,-,-,-,"10,454",-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),1923.637%,1368.886%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
EPS (Basic),-3.986,-22.044,-67.130,-67.130,49.523,-61.888,-,-,-,-,-373.076,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-3.986,-22.044,-67.130,-67.130,39.947,-61.888,-,-,-,-,-373.076,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-2,753,610","-2,408,593","-1,972,378","-1,972,378","-3,976,456","-3,031,429","-3,314,656","-3,314,656","-4,451,848","-4,451,849","-2,555,646","-1,096,482","-974,463","-974,464","-1,525,863","-669,352","-635,776","-635,776",Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-5.525,-15.983,-42.298,-42.298,-161.467,-295.490,-,-,-,-,-244.466,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in GBP,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-145.854%,-145.854%,-800.500%,-800.500%,-470.511%,-435.824%,-283.395%,-283.395%,-324.875%,-307.987%,-379.671%,-379.671%,Financials in GBP,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-63.963%,-63.963%,51.819%,51.819%,-788.441%,-1420.680%,-267.675%,-267.675%,-267.024%,-242.564%,-296.884%,-296.884%,Financials in GBP,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-232.184%,-232.184%,-899.972%,-899.973%,-516.642%,-221.662%,-196.995%,-196.995%,-308.464%,-135.314%,-128.527%,-128.527%,Financials in GBP,Fiscal year is January - December
EBITDA,"-1,971,761","-3,317,021","-3,132,555","-3,132,555","-3,568,060","-4,002,589","-1,899,877","-1,899,877","-3,760,887","-3,760,886","-2,142,769","-1,955,697","-1,188,299","-1,188,298","-1,401,205","-1,305,100","-1,657,689","-1,657,688",Financials in GBP,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-133.082%,-133.082%,-,-,-,-,-240.223%,-240.223%,-283.263%,-263.836%,-,-,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"120,578","127,021","144,281","144,281","160,524","180,970","182,331","182,331","198,904","198,905","184,683","200,167","213,555","213,556","205,837","218,401","220,409","220,410",Financials in GBP,Fiscal year is January - December
EBIT,"-2,092,339","-3,444,042","-3,276,836","-3,276,836","-3,728,584","-4,183,559","-2,082,208","-2,082,208","-3,959,791","-3,959,791","-2,327,452","-2,155,864","-1,401,854","-1,401,854","-1,607,042","-1,523,501","-1,878,098","-1,878,098",Financials in GBP,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-145.854%,-145.854%,-,-,-,-,-283.395%,-283.395%,-,-,-,-,Financials in GBP,Fiscal year is January - December
