Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Free Cash Flow,-,-,-,-,-,-,-,-,"-44,523,579","-44,523,579","-189,906,275","-189,906,276",Financials in CNY,Fiscal year is April - March
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-0.126,-,-5.375,-5.375,Financials in CNY,Fiscal year is April - March
Gross Margin,25.388%,79.278%,81.918%,80.326%,80.065%,78.791%,78.065%,75.114%,77.104%,77.104%,76.395%,76.395%,Financials in CNY,Fiscal year is April - March
Operating Margin,-68.832%,-49.502%,-116.925%,-39.742%,-61.097%,-26.486%,-3.037%,-5.815%,-26.898%,-26.898%,-20.839%,-20.839%,Financials in CNY,Fiscal year is April - March
Profit Margin,-133.855%,-47.140%,-108.431%,-39.451%,-76.657%,-29.224%,4.363%,-9.535%,-26.085%,-26.085%,-16.736%,-16.736%,Financials in CNY,Fiscal year is April - March
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-38.133%,-38.133%,-140.967%,-140.967%,Financials in CNY,Fiscal year is April - March
EBITDA,"-82,617,124","-72,494,433","-103,237,939","-60,882,048","-55,600,912","-40,323,253","2,719,760","-4,159,508","-23,271,939","-23,271,939","-20,630,408","-20,630,408",Financials in CNY,Fiscal year is April - March
EBITDA Margin,-61.040%,-43.942%,-106.630%,-34.538%,-52.445%,-22.198%,1.401%,-2.024%,-19.932%,-19.932%,-15.314%,-15.314%,Financials in CNY,Fiscal year is April - March
D&A For EBITDA,"10,546,346","9,171,952","9,966,676","9,171,952","9,171,952","7,788,492","8,614,015","7,788,492","8,133,755","8,133,755","7,443,230","7,443,230",Financials in CNY,Fiscal year is April - March
EBIT,"-93,163,470","-81,666,385","-113,204,615","-70,054,000","-64,772,864","-48,111,745","-5,894,255","-11,948,000","-31,405,694","-31,405,694","-28,073,638","-28,073,638",Financials in CNY,Fiscal year is April - March
EBIT Margin,-68.832%,-49.502%,-116.925%,-39.742%,-61.097%,-26.486%,-3.037%,-5.815%,-26.898%,-26.898%,-20.839%,-20.839%,Financials in CNY,Fiscal year is April - March
