Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-19,128,000","-12,516,000","-10,292,000","-8,925,000","-14,866,000","-17,370,000","-14,961,000","-13,088,000","-6,583,000","-6,420,000","-7,250,000","-5,140,000","-5,810,000","-4,646,500","-4,646,500",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"1,757,000",-,-,-,"-285,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,128,000","-12,516,000","-10,292,000","-7,168,000","-14,866,000","-17,370,000","-14,961,000","-14,429,000","-6,583,000","-6,420,000","-7,250,000","-5,140,000","-5,810,000","-4,646,500","-4,646,500",Financials in USD,Fiscal year is January - December
Net Income,"-19,128,000","-12,516,000","-10,292,000","-7,168,000","-14,866,000","-17,370,000","-14,961,000","-14,429,000","-6,583,000","-6,420,000","-7,250,000","-5,140,000","-5,810,000","-4,646,500","-4,646,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,128,000","-12,516,000","-10,292,000","-7,168,000","-14,866,000","-17,370,000","-14,961,000","-14,429,000","-6,583,000","-6,420,000","-7,250,000","-5,140,000","-5,810,000","-4,646,500","-4,646,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"97,032,331","96,827,687","96,486,480","96,131,252","95,576,627","94,911,268","94,227,313","68,088,624","30,755,123","30,606,773","30,369,413","43,483,610","25,138,230","23,433,564","23,433,564",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"97,032,331","96,827,687","96,486,480","96,131,252","95,576,627","94,911,268","94,227,313","68,088,624","30,755,123","30,606,773","30,369,413","43,483,610","25,138,230","23,433,564","23,433,564",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.523%,2.019%,2.398%,41.185%,210.767%,210.099%,210.270%,56.585%,22.344%,30.611%,29.598%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.197,-0.129,-0.107,-0.075,-0.156,-0.183,-0.159,-0.212,-0.214,-0.210,-0.239,-0.118,-0.231,-0.198,-0.198,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.197,-0.129,-0.107,-0.075,-0.156,-0.183,-0.159,-0.212,-0.214,-0.210,-0.239,-0.118,-0.231,-0.198,-0.198,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,607,000","-7,317,000","-6,793,000","-17,314,000","-12,806,000","-16,699,000","-12,622,000","-20,623,000","-5,712,000","-6,996,000","-6,946,000","-5,382,000","-4,511,000","-3,861,500","-3,861,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.151,-0.076,-0.070,-0.180,-0.134,-0.176,-0.134,-0.303,-0.186,-0.229,-0.229,-0.124,-0.179,-0.165,-0.165,Financials in USD,Fiscal year is January - December
Gross Margin,-114.458%,-,-,-,-,-,-,-,-,-,-,-,-,-166.027%,-166.027%,Financials in USD,Fiscal year is January - December
Operating Margin,-1051.644%,-3068.000%,-,-,-,-206030.000%,-93565.000%,-,-3507.937%,-1367.241%,-1070.739%,-657.958%,-1063.636%,-210.156%,-210.156%,Financials in USD,Fiscal year is January - December
Profit Margin,-924.952%,-2503.200%,-,-,-,-173700.000%,-74805.000%,-,-3483.069%,-1383.621%,-1093.514%,-681.698%,-1100.379%,-220.005%,-220.005%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-706.335%,-1463.400%,-,-,-,-166990.000%,-63110.000%,-,-3022.222%,-1507.759%,-1047.662%,-713.793%,-854.356%,-182.836%,-182.836%,Financials in USD,Fiscal year is January - December
EBITDA,"-21,727,000","-15,322,000","-13,181,000","-10,214,000","-17,957,000","-20,583,000","-18,693,000","-14,373,000","-6,623,000","-6,337,500","-7,049,000","-4,753,000","-5,614,000","-4,437,000","-4,437,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-210.085%,-210.085%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,000","18,000","11,000","12,000","21,000","20,000","20,000","14,000","7,000","6,500","50,000","208,000","2,000","1,500","1,500",Financials in USD,Fiscal year is January - December
EBIT,"-21,748,000","-15,340,000","-13,192,000","-10,226,000","-17,978,000","-20,603,000","-18,713,000","-14,387,000","-6,630,000","-6,344,000","-7,099,000","-4,961,000","-5,616,000","-4,438,500","-4,438,500",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-210.156%,-210.156%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,068,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
