Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Currency,Fiscal_Year_period
Income Tax Expense,"92,106","78,701","70,252","44,308","28,923","10,149","11,010","11,012","8,740","9,282","7,332","5,706",-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-36,114,424","-24,758,754","-13,975,521","-7,887,390","-11,619,353","-12,353,387","-12,218,987","-16,467,930","-14,741,648","-17,416,329","-15,880,142","-25,046,828","-6,288,056","-32,685,779",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"724,087","491,742","301,865","450,314","2,193,304","2,214,108","3,214,131","-639,890","4,631,196","5,295,610","5,245,887",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-35,390,337","-24,267,012","-13,673,656","-7,437,076","-9,426,049","-10,139,279","-9,004,856","-17,107,820","-10,110,452","-12,120,719","-10,634,255","-25,046,828","-6,288,056","-32,685,779",Financials in USD,Fiscal year is January - December
Net Income to Common,"-35,390,337","-24,267,012","-13,673,656","-7,437,076","-9,426,049","-10,139,279","-9,004,856","-17,107,820","-10,110,452","-12,120,719","-10,634,255","-25,046,828","-6,288,056","-32,685,779",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,896,782","62,874,637","62,637,212","59,914,592","53,517,655","43,718,464","39,061,977","38,843,776","36,925,639","35,201,713","5,180,431","2,293,947","2,390,587","11,278,991",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"62,896,782","62,874,637","62,637,212","59,914,592","53,517,655","43,718,464","39,061,977","38,843,776","36,925,639","35,201,713","5,180,431","2,293,947","2,390,587","11,278,991",Financials in USD,Fiscal year is January - December
Shares Change (YoY),17.525%,43.817%,60.353%,54.245%,44.934%,24.194%,654.029%,1593.316%,1444.626%,212.100%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.563,-0.386,-0.218,-0.124,-0.176,-0.232,-0.231,-0.440,-0.274,-0.344,-2.053,-10.919,-2.630,-2.898,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.563,-0.386,-0.218,-0.124,-0.176,-0.232,-0.231,-0.440,-0.274,-0.344,-2.053,-10.919,-2.630,-2.898,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,406,999","-27,890,403","-15,160,140","-12,628,960","-9,250,586","-12,158,828","-9,024,427","-11,595,983","-9,351,571","-20,760,381","-14,201,974","-14,515,575","-2,030,254",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.404,-0.444,-0.242,-0.211,-0.173,-0.278,-0.231,-0.299,-0.253,-0.590,-2.741,-6.328,-0.849,-,Financials in USD,Fiscal year is January - December
EBITDA,"-43,079,494","-30,550,089","-19,797,676","-15,025,603","-12,973,453","-13,182,601","-12,928,276","-16,693,134","-14,767,208","-17,648,889","-15,939,827","-19,989,262","-6,264,945","-32,681,892",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"32,515","28,112","22,813","3,289","3,290","3,289","3,290","3,289","3,293","3,288","2,488","3,481","2,271",107,Financials in USD,Fiscal year is January - December
EBIT,"-43,112,009","-30,578,201","-19,820,489","-15,028,892","-12,976,743","-13,185,890","-12,931,566","-16,696,423","-14,770,501","-17,652,177","-15,942,315","-19,992,743","-6,267,216","-32,681,999",Financials in USD,Fiscal year is January - December
