Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Interest Expense,"-19,763,758","-10,499,284","-9,981,464","-3,480,696","-28,713",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"1,596,301","1,798,425","2,119,637","1,107,859","144,250","91,218","372,001",-,"480,453",-,Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-933,850","826,849","-2,528,167","2,039,030","-1,438,850","-1,375,143","-1,773,558","-9,238,403","-344,262","113,370",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-11,223,535","387,284","12,302,158",2,"28,713",-,-1,1,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-128,430,812","-101,223,489","-69,303,682","-79,143,753","-58,487,297","-40,629,360","-22,006,088","-28,277,254","-8,916,190","-11,465,210",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-128,430,812","-101,223,489","-69,303,682","-79,143,753","-58,487,297","-40,629,360","-22,006,088","-28,277,254","-8,916,190","-11,465,210",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,"-4,374,138","-5,038,058","-3,881,611","-2,044,739","-3,382,685","-2,916,601","-2,391,863","-2,546,983","-3,053,981","-3,845,192",Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-124,056,674","-96,185,431","-65,422,071","-77,099,014","-55,104,612","-37,712,759","-19,614,225","-25,730,271","-5,862,209","-7,620,018",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-124,056,674","-96,185,431","-65,422,071","-77,099,014","-55,104,612","-37,712,759","-19,614,225","-25,730,271","-5,862,209","-7,620,018",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-124,056,674","-96,185,431","-65,422,071","-77,099,014","-55,104,612","-37,712,759","-19,614,225","-25,730,271","-5,862,209","-7,620,018",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"683,766,097","592,639,747","418,291,081","466,983,731","351,977,391","351,143,007","357,492,600","283,373,028","269,273,014","252,318,476",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"683,766,097","592,639,747","418,291,081","466,983,731","351,977,391","351,143,007","357,492,600","283,373,028","269,273,014","252,318,476",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),63.467%,26.908%,18.840%,32.990%,-1.543%,23.915%,32.762%,12.308%,8.120%,16.522%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.181,-0.162,-0.156,-0.165,-0.157,-0.107,-0.055,-0.091,-0.022,-0.030,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.181,-0.162,-0.156,-0.165,-0.157,-0.107,-0.055,-0.091,-0.022,-0.030,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-91,684,426","-69,364,417","-51,336,955","-69,293,378","-42,596,036","-28,755,826","-27,046,135","-18,512,734","-8,389,056","3,906,196",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.134,-0.117,-0.123,-0.148,-0.121,-0.082,-0.076,-0.065,-0.031,0.015,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-164538.314%,-46350.645%,-37839.106%,-39991.246%,-125326.388%,-25653.932%,-,-7434.815%,-,-4239.452%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-208061.508%,-47561.454%,-34760.700%,-39123.051%,-120750.766%,-24589.398%,-,-10047.865%,-,-2790.040%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-153768.429%,-34299.088%,-27276.857%,-35162.166%,-93340.717%,-18749.316%,-,-7229.362%,-,1430.239%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-98,096,201","-93,727,733","-71,206,150","-78,802,643","-57,188,286","-39,337,929","-20,596,981","-19,031,389","-9,048,880","-11,562,033",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"9,769","9,030","9,696","7,305","4,411","7,506","7,549","7,463","3,502","16,547",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-98,105,970","-93,736,763","-71,215,846","-78,809,948","-57,192,697","-39,345,435","-20,604,530","-19,038,852","-9,052,381","-11,578,580",Upgrade,Financials in USD,Fiscal year is July - June
