Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Income Tax Expense,"-375,000","190,000","31,000","-198,000","-22,000","67,000","82,000","-14,770,000","-28,000","-45,000","-184,000","-683,000","-207,000","-431,000","-159,000","8,000","6,000","6,000","1,869,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-56,403,000","-217,181,000","-165,911,000","-211,694,000","-302,891,000","-173,315,000","-204,969,000","-173,078,000","-670,131,000","-670,570,000","-592,593,000","-1,604,995,000","-102,405,000","-54,464,000","-74,778,000","-46,399,000","-26,126,000","-28,730,000","-25,468,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,"-2,390,000",-,"1,745,000","2,088,000","4,339,000","524,000","523,000","1,209,000","-525,000","71,000","72,000","496,000",Financials in USD,Fiscal year is January - December
Net Income,"-56,403,000","-217,181,000","-165,911,000","-211,694,000","-302,891,000","-173,315,000","-204,969,000","-175,468,000","-670,131,000","-668,825,000","-590,505,000","-1,600,656,000","-101,881,000","-53,941,000","-73,569,000","-46,924,000","-26,055,000","-28,658,000","-24,972,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-56,403,000","-217,181,000","-165,911,000","-211,694,000","-302,891,000","-173,315,000","-204,969,000","-175,468,000","-670,131,000","-668,825,000","-590,505,000","-1,600,656,000","-101,881,000","-53,941,000","-73,569,000","-46,924,000","-26,055,000","-28,658,000","-24,972,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"52,240,000","51,370,025","50,111,500","49,442,700","48,770,000","48,335,925","47,874,075","46,373,790","40,772,775","40,517,600","40,187,500","38,278,471","33,089,352","32,313,457","32,257,075","32,204,381","32,176,325","195,345","195,187",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"52,246,000","51,375,600","50,133,400","49,471,075","48,770,000","48,335,925","47,915,925","46,415,238","40,772,775","40,517,600","40,187,500","38,288,796","33,089,352","32,313,457","32,257,075","32,204,381","32,176,325","195,345","195,187",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.127%,6.289%,4.628%,6.584%,19.614%,19.296%,19.231%,21.224%,23.220%,25.389%,24.585%,18.893%,2.838%,16441.737%,16426.242%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.080,-4.228,-3.311,-4.282,-6.211,-3.586,-4.281,-3.784,-16.436,-16.507,-14.694,-41.816,-3.079,-1.669,-2.281,-1.457,-0.810,-146.705,-127.939,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.080,-4.231,-3.319,-4.311,-6.211,-3.600,-4.290,-3.848,-16.436,-16.507,-14.800,-43.336,-3.079,-1.669,-2.281,-1.484,-0.810,-146.705,-127.939,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-118,590,000","-111,422,000","-95,969,000","-61,277,000","-77,932,000","-87,066,000","-110,026,000","-130,176,000","-41,834,000","-108,981,000","-23,478,000","-170,655,000","-10,673,000","-58,945,000","-70,066,000","-78,752,000","-53,937,000","-33,671,000","-27,291,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.270,-2.169,-1.914,-1.239,-1.598,-1.801,-2.296,-2.805,-1.026,-2.690,-0.584,-4.457,-0.323,-1.824,-2.172,-2.445,-1.676,-172.367,-139.820,Financials in USD,Fiscal year is January - December
Gross Margin,86.520%,75.588%,75.748%,80.978%,87.510%,77.539%,72.275%,69.255%,62.868%,55.807%,49.270%,55.164%,71.264%,60.789%,46.255%,56.822%,86.701%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-58.683%,-274.481%,-469.118%,-515.529%,-343.105%,-209.407%,-267.335%,-209.519%,-986.382%,-447.924%,-401.040%,-1134.548%,-33.594%,-137.375%,-129.521%,-174.334%,-258.705%,-305.579%,-74.146%,Financials in USD,Fiscal year is January - December
Profit Margin,-63.341%,-386.402%,-437.252%,-609.104%,-546.439%,-215.116%,-253.983%,-178.530%,-1009.264%,-462.477%,-350.646%,-1077.926%,-131.273%,-123.616%,-166.834%,-146.372%,-195.873%,-281.984%,-118.160%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-133.178%,-198.239%,-252.923%,-176.311%,-140.595%,-108.065%,-136.336%,-132.447%,-63.005%,-75.358%,-13.941%,-114.924%,-13.752%,-135.083%,-158.891%,-245.655%,-405.480%,-331.310%,-129.133%,Financials in USD,Fiscal year is January - December
EBITDA,"-35,086,000","-136,945,000","-165,133,000","-165,288,000","-169,123,000","-151,063,000","-196,787,000","-188,388,000","-646,021,000","-638,751,000","-666,431,000","-1,676,732,000","-17,793,000","-52,780,000","-51,486,000","-51,884,000","-30,886,000","-27,877,000","-12,516,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-39.402%,-243.648%,-,-,-,-187.498%,-243.844%,-191.675%,-,-,-,-,-22.926%,-120.955%,-116.756%,-161.844%,-232.191%,-274.299%,-59.222%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"17,169,000","17,330,000","12,869,000","13,884,000","21,060,000","17,652,000","18,958,000","17,538,000","8,917,000","9,028,000","8,940,000","8,003,000","8,279,000","7,165,000","5,629,000","4,004,000","3,527,000","3,179,000","3,154,000",Financials in USD,Fiscal year is January - December
EBIT,"-52,255,000","-154,275,000","-178,002,000","-179,172,000","-190,183,000","-168,715,000","-215,745,000","-205,926,000","-654,938,000","-647,779,000","-675,371,000","-1,684,735,000","-26,072,000","-59,945,000","-57,115,000","-55,888,000","-34,413,000","-31,056,000","-15,670,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-58.683%,-274.481%,-,-,-,-209.407%,-267.335%,-209.519%,-,-,-,-,-33.594%,-137.375%,-129.521%,-174.334%,-258.705%,-,-74.146%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"89,046,000","56,206,000","37,944,000","34,755,000","55,430,000","80,568,000","80,702,000","98,285,000","66,398,000","144,618,000","168,405,000","148,494,000","77,610,000","43,636,000","44,097,000","32,058,000","13,302,000","10,163,000","21,134,000",Financials in USD,Fiscal year is January - December
