Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Net Income to Common,"-3,173,156","-2,829,106","-3,134,262","-2,133,973","-1,719,211","-1,701,364","-2,240,142","-1,669,602","-2,424,586","-2,730,573","-2,786,152","-2,552,856","-4,275,157","-1,331,792","-2,304,908","-396,313","-597,395","-821,649","-1,421,173",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,554,680","676,567","444,056","319,568","212,544","180,332","65,723","51,399","51,152","46,645","34,703","34,888","20,751",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,554,680","676,567","444,056","319,568","212,544","180,332","65,723","51,399","51,152","46,645","34,703","34,888","20,751",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),631.463%,275.179%,575.648%,521.740%,315.515%,286.605%,89.387%,47.326%,146.504%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.041,-4.182,-7.058,-6.678,-8.089,-9.435,-34.085,-32.483,-47.400,-58.539,-80.286,-73.173,-206.022,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.041,-4.182,-7.058,-6.678,-8.089,-9.435,-34.085,-32.483,-47.400,-58.539,-80.286,-73.173,-206.022,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,418,927","-2,125,953","-2,704,454","-1,147,305","-1,771,628","-1,840,365","-1,649,633","-1,825,528","-2,561,273","-1,839,515","-2,607,848","-1,803,909","-2,210,050","-903,213","-776,220","-535,974","-1,369,611","-743,889","-1,379,067",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.199,-3.142,-6.090,-3.590,-8.335,-10.205,-25.100,-35.517,-50.072,-39.436,-75.148,-51.706,-106.503,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,"-2,552,775","-1,712,188","-1,329,888","-2,261,692","-491,427","-540,062","-792,786","-1,348,255",Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,81,81,81,81,-,-,-,322,Financials in USD,Fiscal year is January - December
EBIT,"-3,225,653","-2,883,742","-3,203,560","-2,219,832","-1,811,978","-1,732,414","-2,277,682","-1,711,689","-2,446,072","-2,730,573","-2,786,152","-2,552,856","-1,712,269","-1,329,969","-2,261,773","-491,427","-540,062","-792,786","-1,348,577",Financials in USD,Fiscal year is January - December
