Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
EPS (Basic),-0.264,-0.194,-0.349,0.115,-0.344,-0.311,-0.281,-1.200,-1.552,-1.318,-0.658,-0.629,-0.514,-0.373,-0.373,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.264,-0.194,-0.349,0.115,-0.344,-0.311,-0.281,-1.200,-1.552,-1.318,-0.658,-0.629,-0.514,-0.373,-0.373,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,461,362","-4,563,567","2,145,874","-2,241,080","-2,216,110","-2,867,896","-3,863,725","-2,223,075","-1,591,542","-1,440,050","-1,984,687","-1,017,353","-1,382,072","-820,323","-820,324",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.359,-0.306,0.148,-0.203,-0.223,-0.288,-0.397,-0.858,-0.614,-0.556,-0.766,-0.393,-0.534,-0.317,-0.317,Financials in USD,Fiscal year is January - December
Gross Margin,-,-33.308%,-,8.341%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-94.478%,-4303.128%,33.460%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-84.422%,-3982.965%,21.092%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-133.232%,1691.823%,-37.338%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-4,443,448","-3,229,285","-5,451,162","2,015,181","-3,557,222","-2,897,505","-2,893,256","-1,606,678","-2,514,416","-3,442,156","-1,696,328","-1,587,953","-1,328,650","-968,787","-968,787",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-94.278%,-,33.574%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"6,841","6,840","6,840","6,840","6,841","6,840","6,840","6,840","12,455","4,033","4,033","10,187","2,531","1,707","1,708",Financials in USD,Fiscal year is January - December
EBIT,"-4,450,289","-3,236,125","-5,458,002","2,008,341","-3,564,063","-2,904,345","-2,900,096","-1,613,518","-2,526,871","-3,446,189","-1,700,361","-1,598,140","-1,331,181","-970,494","-970,495",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-94.478%,-,33.460%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,36.378%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
