Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-164,000","1,795,000","303,000","13,793,000","-139,000","279,000","255,000","6,140,000","-1,607,000","1,052,000","1,596,000","2,247,000","-2,358,000","69,000","17,000","83,000","85,000","327,000","21,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,170,000","-37,595,000","-41,234,000","-34,303,000","-9,998,000","-29,541,000","-28,029,000","-26,859,000","-26,678,000","-26,681,000","-19,000,000","-18,158,000","-20,974,000","-15,895,000","-13,159,000","-15,057,000","-8,146,000","-1,922,000","-10,269,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-600,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-14,000","-102,000",-,"-9,000","-4,000","22,000","-15,000","-60,000","31,000","-16,000","-88,000",-,-,-,-,-,-,-,"-733,000",Financials in USD,Fiscal year is January - December
Legal Settlements,"-3,900,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,584,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-34,684,000","-37,697,000","-41,234,000","-34,312,000","-10,002,000","-29,519,000","-28,044,000","-26,919,000","-26,647,000","-26,697,000","-19,088,000","-18,158,000","-20,974,000","-14,311,000","-13,159,000","-15,057,000","-8,146,000","-1,922,000","-11,002,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"193,000",-,-,-,"70,000",-,-,-,"321,000",-,-,-,"-354,000","-213,000","-50,000","-1,202,000",Financials in USD,Fiscal year is January - December
Net Income,"-34,684,000","-37,697,000","-41,234,000","-34,505,000","-10,002,000","-29,519,000","-28,044,000","-26,989,000","-26,647,000","-26,697,000","-19,088,000","-18,479,000","-20,974,000","-14,311,000","-13,159,000","-14,703,000","-7,933,000","-1,872,000","-9,800,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,684,000","-37,697,000","-41,234,000","-34,505,000","-10,002,000","-29,519,000","-28,044,000","-26,989,000","-26,647,000","-26,697,000","-19,088,000","-18,479,000","-20,974,000","-14,311,000","-13,159,000","-14,703,000","-7,933,000","-1,872,000","-9,800,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"90,455,900","90,340,932","89,302,937","88,432,905","83,783,992","61,417,934","61,186,514","61,001,150","60,886,921","60,757,689","60,546,170","60,180,759","45,889,646","10,261,770","9,499,448","8,776,907","8,537,965","8,441,934","8,429,419",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"90,455,900","90,340,932","89,302,937","88,432,905","83,783,992","61,417,934","61,186,514","61,001,150","60,886,921","60,757,689","60,546,170","60,180,759","45,889,646","10,261,770","9,499,448","8,776,907","8,537,965","8,441,934","8,429,419",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.963%,47.092%,45.952%,44.969%,37.606%,1.087%,1.058%,1.363%,32.681%,492.078%,537.365%,585.672%,437.478%,21.557%,12.694%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.383,-0.417,-0.462,-0.390,-0.119,-0.481,-0.458,-0.442,-0.438,-0.439,-0.315,-0.307,-0.457,-1.395,-1.385,-1.675,-0.929,-0.222,-1.163,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.383,-0.417,-0.462,-0.390,-0.119,-0.481,-0.458,-0.442,-0.438,-0.439,-0.315,-0.307,-0.457,-1.395,-1.385,-1.675,-0.929,-0.222,-1.163,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-33,334,000","-35,107,000","-38,651,000","-23,656,000","-33,540,000","-17,738,000","-29,970,000","-26,801,000","-23,730,000","-24,493,000","-22,396,000","-22,074,000","-15,897,000","-16,960,000","20,291,000","-8,103,000","-8,705,000","-7,258,000","-9,466,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.369,-0.389,-0.433,-0.268,-0.400,-0.289,-0.490,-0.439,-0.390,-0.403,-0.370,-0.367,-0.346,-1.653,2.136,-0.923,-1.020,-0.860,-1.123,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-20.801%,-,-,-,-,-,-,-,-298.114%,-,-,-,-,10.592%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1666.897%,-1255.803%,-1893.866%,-1052.333%,-61.842%,-875.313%,-888.521%,-828.223%,-803.421%,-678.220%,-782.770%,-797.382%,-468.092%,-1081.572%,-830.706%,-1546.037%,-686.895%,-26.598%,-613.110%,Financials in USD,Fiscal year is January - December
Profit Margin,-1713.636%,-1088.251%,-1697.571%,-969.786%,-42.270%,-786.125%,-800.800%,-731.013%,-806.751%,-636.856%,-716.517%,-722.118%,-527.382%,-969.580%,-829.697%,-1494.207%,-662.187%,-22.081%,-576.132%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1646.937%,-1013.482%,-1591.231%,-664.868%,-141.746%,-472.383%,-855.797%,-725.921%,-718.438%,-584.280%,-840.691%,-862.603%,-399.723%,-1149.051%,1279.382%,-823.476%,-726.628%,-85.610%,-556.496%,Financials in USD,Fiscal year is January - December
EBITDA,"-32,561,000","-42,645,000","-45,292,000","-36,702,000","-13,054,000","-32,251,000","-30,527,000","-30,072,000","-26,087,000","-28,073,000","-20,545,000","-20,132,000","-18,356,000","-15,734,000","-12,954,000","-14,993,000","-8,003,000","-2,027,000","-10,203,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-55.169%,-,-,-,-,-,-,-,-,-,-,-,-,-23.909%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,177,000","856,000","710,000","740,000","1,579,000","617,000","589,000","506,000","450,000","358,000","308,000","273,000","260,000","230,000","221,000","220,000","226,000","228,000","226,000",Financials in USD,Fiscal year is January - December
EBIT,"-33,738,000","-43,501,000","-46,002,000","-37,442,000","-14,633,000","-32,868,000","-31,116,000","-30,578,000","-26,537,000","-28,431,000","-20,853,000","-20,405,000","-18,616,000","-15,964,000","-13,175,000","-15,213,000","-8,229,000","-2,255,000","-10,429,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-61.842%,-,-,-,-,-,-,-,-,-,-,-,-,-26.598%,-,Financials in USD,Fiscal year is January - December
