Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Interest & Investment Income,-,-,-,"1,423",-,-,-,-,-,-,-,-,-,631,"568,176",-,-,"1,522","21,478",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,310","15,485","25,602","70,612","234,753","301,615","270,822","275,792","137,645",516,"8,725","-61,945",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,902,288","-13,980,191","-7,468,061","-10,696,156","-4,938,641","-4,304,420","-5,183,186","-5,485,921","-3,914,194","-3,510,561","-1,872,085","-3,740,717","-4,094,704","-2,750,362","-2,843,996","2,060,805","-2,709,006","-2,778,485","-2,375,514",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"15,625",-,-,"112,500","67,180",-,-,"-185,122",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-1,300,000",-,-,-,-,-,-,-,-,-,"567,311",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,902,288","-15,280,191","-7,468,061","-10,680,531","-4,938,641","-4,304,420","-5,070,686","-5,418,741","-3,914,194","-3,510,561","-2,057,207","-3,173,406","-4,094,704","-2,750,362","-2,843,996","2,060,805","-2,709,006","-2,778,485","-2,375,514",Financials in USD,Fiscal year is January - December
Net Income,"-3,902,288","-15,280,191","-7,468,061","-10,680,531","-4,938,641","-4,304,420","-5,070,686","-5,418,741","-3,914,194","-3,510,561","-2,057,207","-3,173,406","-4,094,704","-2,750,362","-2,843,996","2,060,805","-2,709,006","-2,778,485","-2,375,514",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"482,662","477,358","429,242","282,861","279,786","279,786",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,902,288","-15,280,191","-7,468,061","-10,680,531","-4,938,641","-4,304,420","-5,070,686","-5,418,741","-3,914,194","-3,510,561","-2,057,207","-3,173,406","-4,094,704","-3,233,024","-3,321,354","1,631,563","-2,991,867","-3,058,271","-2,655,300",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"37,823,394","37,823,394","37,223,588","35,996,415","35,926,921","35,910,669","35,883,779","35,861,348","35,835,135","35,814,482","35,778,032","35,750,479","29,572,267","4,921,121","4,839,871","4,770,692","4,743,823","4,725,083","4,717,543",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"37,823,394","37,823,394","37,223,588","35,996,415","35,926,921","35,910,669","35,883,779","35,861,348","35,835,135","35,814,482","35,778,032","35,750,479","29,572,267","4,921,121","4,839,871","4,770,692","4,743,823","4,725,083","4,717,543",Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.279%,5.326%,3.734%,0.377%,0.256%,0.269%,0.296%,0.310%,21.178%,627.771%,639.235%,649.377%,523.385%,4.149%,2.593%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.103,-0.404,-0.201,-0.297,-0.137,-0.120,-0.141,-0.151,-0.109,-0.098,-0.057,-0.089,-0.138,-0.657,-0.686,0.342,-0.631,-0.647,-0.563,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.103,-0.404,-0.201,-0.297,-0.137,-0.120,-0.141,-0.156,-0.110,-0.098,-0.057,-0.089,-0.138,-0.657,-0.686,0.342,-0.631,-0.647,-0.563,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,963,534","-4,843,639","-3,733,579","-7,610,442","-6,219,320","-10,948,361","-3,938,598","-3,858,058","-12,484,721","-2,702,743","-1,615,716","-3,396,446","-5,123,013","-990,440","-1,513,081","-3,573,548","-2,854,750","-2,107,405","-2,082,305",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.078,-0.128,-0.100,-0.211,-0.173,-0.305,-0.110,-0.108,-0.348,-0.075,-0.045,-0.095,-0.173,-0.201,-0.313,-0.749,-0.602,-0.446,-0.441,Financials in USD,Fiscal year is January - December
Gross Margin,20.000%,29.152%,54.561%,-,20.487%,19.333%,29.924%,20.000%,20.000%,36.740%,57.400%,-,-,-,-,100.000%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-865.393%,-2235.747%,-665.091%,-813.306%,-595.225%,-724.225%,-12798.916%,-422.449%,-222.200%,-773.365%,-60.330%,-,-,-,-,50.274%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-915.121%,-2469.111%,-662.819%,-806.685%,-578.904%,-691.132%,-12106.788%,-403.925%,-216.370%,-773.251%,-65.988%,-,-,-,-,39.797%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-694.975%,-782.679%,-331.369%,-574.806%,-729.024%,-1757.906%,-9403.811%,-287.589%,-690.135%,-595.318%,-51.827%,-,-,-,-,-87.165%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-3,561,786","-13,706,078","-7,250,162","-10,566,080","-4,800,426","-4,226,188","-5,061,723","-5,534,325","-3,855,322","-3,361,499","-1,738,025","-3,005,041","-3,969,708","-2,596,120","-3,253,366","2,201,751","-2,582,418","-2,621,899","-2,249,089",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-213.116%,-,-55.750%,-,-,-,-,53.704%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"128,449","129,932","243,501","202,111","277,454","284,333","298,847","132,912","164,333","149,578","142,785","107,463","122,456","154,873","158,806","140,643","126,214","158,108","147,903",Financials in USD,Fiscal year is January - December
EBIT,"-3,690,235","-13,836,010","-7,493,663","-10,768,191","-5,077,880","-4,510,521","-5,360,570","-5,667,237","-4,019,655","-3,511,077","-1,880,810","-3,112,504","-4,092,164","-2,750,993","-3,412,172","2,061,108","-2,708,632","-2,780,007","-2,396,992",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-222.200%,-,-60.330%,-,-,-,-,50.274%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,099,750",-,-,-,Financials in USD,Fiscal year is January - December
