Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Net Income,"-28,866,000","-11,203,000","-12,111,000","-18,716,000","-14,923,000","-18,697,000","-18,722,000","-18,210,000","-16,640,000","-11,552,000","-11,808,000","-10,904,000","-11,406,000","-12,007,000","-21,002,000","-1,076,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,866,000","-11,203,000","-12,111,000","-18,716,000","-14,923,000","-18,697,000","-18,722,000","-18,210,000","-16,640,000","-11,552,000","-11,808,000","-10,904,000","-11,406,000","-12,007,000","-21,002,000","-1,076,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,577,122","4,572,010","4,570,860","4,465,852","4,447,223","4,427,726","4,407,097","4,382,361","4,342,417","1,344,662","317,125","295,557","292,596","290,911","1,460,293","1,436,088",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,577,122","4,572,010","4,570,860","4,465,852","4,447,223","4,427,726","4,407,097","4,382,361","4,342,417","1,344,662","317,125","295,557","292,596","290,911","1,460,293","1,436,088",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.921%,3.259%,3.716%,1.905%,2.414%,229.282%,1289.703%,1382.746%,1384.100%,362.225%,-78.283%,-79.419%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-6.307,-2.450,-2.650,-4.191,-3.356,-4.223,-4.248,-4.155,-3.832,-8.591,-37.235,-36.893,-38.982,-41.274,-14.382,-0.749,Financials in USD,Fiscal year is January - December
EPS (Diluted),-6.307,-2.450,-2.650,-4.191,-3.356,-4.223,-4.248,-4.155,-3.832,-8.591,-37.235,-36.893,-38.982,-41.274,-14.382,-0.749,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,866,000","-8,345,000","-11,697,000","-7,041,000","-17,237,000","-17,344,000","-22,811,000","-17,539,000","-24,337,000","-16,955,000","-17,439,000","-15,956,000","-9,737,000","-5,914,000","-8,571,000","-7,770,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.719,-1.825,-2.559,-1.577,-3.876,-3.917,-5.176,-4.002,-5.604,-12.609,-54.991,-53.986,-33.278,-20.329,-5.869,-5.411,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-269.139%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-5114.201%,-1620.918%,-1163.608%,-28464.407%,-835.108%,-1603.166%,-1065.036%,-1372.636%,-1035.630%,-1134.426%,-12697.222%,-327400.000%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-4415.089%,-1995.411%,-1455.832%,-30864.407%,-942.242%,-850.663%,-1069.565%,-1375.032%,-1034.089%,-1514.124%,-29169.444%,-53800.000%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-5099.704%,-1851.014%,-1773.795%,-29727.119%,-1378.086%,-1248.527%,-1579.620%,-2012.106%,-882.774%,-745.776%,-11904.167%,-388500.000%,Financials in USD,Fiscal year is January - December
EBITDA,"-12,299,000","-10,798,000","-13,856,000","-16,011,000","-15,938,000","-14,434,000","-14,497,000","-16,344,000","-14,312,000","-21,499,000","-11,518,000","-10,659,000","-11,227,000","-8,814,000","-8,977,000","-6,416,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"946,000","971,000","984,000","992,000","1,348,000","754,000","467,000","450,000","436,000","272,000","240,000","226,000","196,000","182,000","165,000","132,000",Financials in USD,Fiscal year is January - December
EBIT,"-13,245,000","-11,769,000","-14,840,000","-17,003,000","-17,286,000","-15,188,000","-14,964,000","-16,794,000","-14,748,000","-21,771,000","-11,758,000","-10,885,000","-11,423,000","-8,996,000","-9,142,000","-6,548,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"338,000","937,000","1,286,000","59,000","1,766,000","1,358,000","1,104,000","793,000","1,103,000","793,000","72,000","2,000",Financials in USD,Fiscal year is January - December
