Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,"-1,000",-,-,-,"51,000",-,-,-,"144,000",-,-,-,"753,000",-,-,-,"758,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-85,752,000","-134,584,000","-134,130,000","-233,454,000","-95,642,000","-138,213,000","-116,583,000","-108,292,000","-111,161,000","-94,835,000","-102,998,000","-91,552,000","-88,429,000","-89,383,000","-80,475,000","-68,782,000","-67,870,000","-51,972,000","-37,409,000","-22,259,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-40,000",-,-,-,"34,000",-,-,-,"1,000",-,"2,000","6,000","-209,000","-1,700,000","45,000","18,000","-8,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-85,752,000","-134,584,000","-134,130,000","-233,414,000","-95,642,000","-138,213,000","-116,583,000","-108,326,000","-111,161,000","-94,835,000","-102,998,000","-91,553,000","-88,429,000","-89,385,000","-80,481,000","-68,573,000","-66,170,000","-52,017,000","-37,427,000","-22,251,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"23,000","20,000","21,000","22,000","60,000","334,000","240,000","111,000","223,000","247,000","172,000","294,000","800,000","1,097,000","867,000","802,000","567,000","578,000","389,000","-25,000",Financials in USD,Fiscal year is January - December
Net Income,"-85,729,000","-134,564,000","-134,109,000","-233,392,000","-95,582,000","-137,879,000","-116,343,000","-108,215,000","-110,938,000","-94,588,000","-102,826,000","-91,259,000","-87,629,000","-88,288,000","-79,614,000","-67,771,000","-65,603,000","-51,439,000","-37,038,000","-22,276,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-85,729,000","-134,564,000","-134,109,000","-233,392,000","-95,582,000","-137,879,000","-116,343,000","-108,215,000","-110,938,000","-94,588,000","-102,826,000","-91,259,000","-87,629,000","-88,288,000","-79,614,000","-67,771,000","-65,603,000","-51,439,000","-37,038,000","-22,276,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"695,895,000","686,938,120","672,831,258","669,559,792","498,375,000","437,456,657","428,381,485","403,643,810","400,059,707","397,991,630","397,882,441","397,118,024","391,853,623","384,820,486","382,741,464","382,161,194","381,763,170","372,286,278","371,989,232","331,823,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"697,961,000","686,938,120","672,831,258","669,559,792","498,375,000","437,456,657","428,381,485","403,643,810","400,059,707","397,991,630","397,882,441","397,118,024","391,853,623","384,820,486","382,741,464","382,161,194","381,763,170","372,286,278","371,989,232","331,823,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),40.047%,57.030%,57.064%,65.879%,24.575%,9.916%,7.665%,1.643%,2.094%,3.423%,3.956%,3.914%,2.643%,3.367%,2.890%,15.170%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.123,-0.196,-0.199,-0.349,-0.192,-0.315,-0.272,-0.268,-0.277,-0.238,-0.258,-0.230,-0.224,-0.229,-0.208,-0.177,-0.172,-0.138,-0.100,-0.067,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.144,-0.200,-0.199,-0.349,-0.192,-0.320,-0.272,-0.268,-0.277,-0.238,-0.260,-0.230,-0.224,-0.229,-0.210,-0.179,-0.172,-0.138,-0.100,-0.067,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-101,555,000","-101,071,000","-108,243,000","-123,226,000","-93,078,000","-88,299,000","-92,738,000","-109,658,000","-96,535,000","-107,201,000","-102,277,000","-82,042,000","-80,748,000","-77,640,000","-67,552,000","-56,905,000","-39,035,000","-46,031,000","-31,422,000","-19,938,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.146,-0.147,-0.161,-0.184,-0.187,-0.202,-0.216,-0.272,-0.241,-0.269,-0.257,-0.207,-0.206,-0.202,-0.176,-0.149,-0.102,-0.124,-0.084,-0.060,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-1314.330%,-9487.393%,-237990.000%,-60792.806%,-97726.829%,-207670.732%,-30994.444%,-115438.356%,-76952.542%,-227491.429%,-685514.286%,-17030.256%,-119448.485%,-25341.003%,-62060.432%,-,-36567.550%,-11677.982%,-22243.636%,-2321.413%,Financials in USD,Fiscal year is January - December
Profit Margin,-1404.012%,-12852.340%,-335272.500%,-167907.914%,-116563.415%,-336290.244%,-32317.500%,-148239.726%,-94015.254%,-270251.429%,-734471.429%,-23399.744%,-132771.212%,-26043.658%,-57276.259%,-,-43445.695%,-11797.936%,-22447.273%,-2421.304%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1663.200%,-9653.391%,-270607.500%,-88651.799%,-113509.756%,-215363.415%,-25760.556%,-150216.438%,-81809.322%,-306288.571%,-730550.000%,-21036.410%,-122345.455%,-22902.655%,-48598.561%,-,-25850.993%,-10557.569%,-19043.636%,-2167.174%,Financials in USD,Fiscal year is January - December
EBITDA,"-75,798,000","-94,927,000","-90,641,000","-79,938,000","-75,551,000","-80,463,000","-106,899,000","-79,044,000","-86,304,000","-75,178,000","-91,882,000","-62,823,000","-75,149,000","-81,922,000","-83,292,000","-55,612,000","-51,663,000","-47,418,000","-33,241,000","-19,903,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,455,000","4,406,000","4,555,000","4,564,000","4,585,000","4,682,000","4,681,000","5,226,000","4,500,000","4,444,000","4,090,000","3,595,000","3,687,000","3,984,000","2,972,000","2,226,000","3,554,000","3,498,000","3,461,000","1,454,000",Financials in USD,Fiscal year is January - December
EBIT,"-80,253,000","-99,333,000","-95,196,000","-84,502,000","-80,136,000","-85,145,000","-111,580,000","-84,270,000","-90,804,000","-79,622,000","-95,972,000","-66,418,000","-78,836,000","-85,906,000","-86,264,000","-57,838,000","-55,217,000","-50,916,000","-36,702,000","-21,357,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"6,106,000","1,047,000",-,-,"82,000","41,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
