Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"412,000","235,000","-7,000","-14,000","-2,000","-6,000",-,"3,000","-12,000",-,"-49,000",-,-,-,-,"2,000","11,000","21,000","231,000","335,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,412,000","-12,985,000","-13,537,000","-19,651,000","-17,343,000","-17,115,000","-14,219,000","-14,097,000","-17,338,000","-20,491,000","-16,839,000","2,797,000","-14,515,000","-12,681,000","-9,716,000","-26,051,000","-6,222,000","-5,038,000","-6,945,000","-5,108,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-812,000","-683,000","-2,582,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,224,000","-13,668,000","-16,119,000","-19,651,000","-17,343,000","-17,115,000","-14,219,000","-14,097,000","-17,338,000","-20,491,000","-16,839,000","2,797,000","-14,515,000","-12,681,000","-9,716,000","-26,051,000","-6,222,000","-5,038,000","-6,945,000","-5,108,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"10,000","62,000","27,000","-162,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-10,234,000","-13,730,000","-16,146,000","-19,489,000","-17,343,000","-17,115,000","-14,219,000","-14,097,000","-17,338,000","-20,491,000","-16,839,000","2,797,000","-14,515,000","-12,681,000","-9,716,000","-26,051,000","-6,222,000","-5,038,000","-6,945,000","-5,108,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,234,000","-13,730,000","-16,146,000","-19,489,000","-17,343,000","-17,115,000","-14,219,000","-14,097,000","-17,338,000","-20,491,000","-16,839,000","2,797,000","-14,515,000","-12,681,000","-9,716,000","-26,051,000","-6,222,000","-5,038,000","-6,945,000","-5,108,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,258,111","48,258,111","48,258,111","47,873,372","43,437,844","39,292,710","36,257,493","36,258,251","36,257,074","36,160,951","36,075,407","35,930,467","35,860,824","35,853,341","3,850,264","3,088,597","2,658,800","2,658,800","2,655,767","2,651,374",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,258,111","48,258,111","48,258,111","47,873,372","43,437,844","39,292,710","36,257,493","36,258,251","36,257,074","36,160,951","36,075,407","37,897,437","35,860,824","35,853,341","3,850,264","3,088,597","2,658,800","2,658,800","2,655,767","2,651,374",Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.097%,22.817%,33.098%,32.034%,19.805%,8.661%,0.505%,-4.325%,1.105%,0.858%,836.959%,1127.011%,1248.760%,1248.478%,44.977%,16.490%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.212,-0.285,-0.335,-0.407,-0.399,-0.436,-0.392,-0.389,-0.478,-0.567,-0.467,0.078,-0.405,-0.354,-2.523,-8.435,-2.340,-1.895,-2.615,-1.927,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.212,-0.285,-0.335,-0.407,-0.399,-0.436,-0.392,-0.389,-0.478,-0.567,-0.467,0.074,-0.405,-0.354,-2.523,-8.435,-2.340,-1.895,-2.615,-1.927,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,938,000","-12,502,000","-18,304,000","-22,081,000","-19,997,000","-18,143,000","-19,936,000","-17,886,000","-18,350,000","-19,487,000","-19,817,000","-13,918,000","-18,174,000","-15,911,000","-14,009,000","-13,220,000","-7,670,000","-7,711,000","-9,991,000","-8,178,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.185,-0.259,-0.379,-0.461,-0.460,-0.462,-0.550,-0.493,-0.506,-0.539,-0.549,-0.367,-0.507,-0.444,-3.638,-4.280,-2.885,-2.900,-3.762,-3.084,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-192.716%,-186.954%,-194.439%,-,-,38.972%,-257.048%,-220.485%,-188.457%,-,-155.143%,-106.118%,-144.593%,-112.696%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-3324.431%,-1645.823%,-922.655%,-292.020%,-277.321%,-279.225%,-5484.555%,-501.241%,13.810%,-387.667%,-357.481%,-279.793%,-40081.538%,-220.325%,-164.627%,-222.374%,-194.116%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-2957.360%,-1463.544%,-854.042%,-267.627%,-258.661%,-270.822%,-5364.136%,-497.606%,13.835%,-387.480%,-357.312%,-279.678%,-40078.462%,-219.936%,-163.944%,-215.215%,-182.168%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-3350.683%,-1687.511%,-905.339%,-375.231%,-328.183%,-286.629%,-5101.309%,-585.609%,-68.843%,-485.158%,-448.323%,-403.253%,-20338.462%,-271.121%,-250.927%,-309.606%,-291.655%,Financials in USD,Fiscal year is January - December
EBITDA,"-11,505,000","-15,048,000","-15,425,000","-21,603,000","-19,261,000","-18,248,000","-15,284,000","-14,904,000","-17,663,000","-20,803,000","-16,782,000","2,955,000","-14,375,000","-12,542,000","-9,631,000","-25,978,000","-6,158,000","-4,983,000","-7,102,000","-5,378,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-287.672%,-273.468%,-275.898%,-,-,14.616%,-,-,-277.231%,-,-217.674%,-162.154%,-220.081%,-191.797%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"90,000","92,000","219,000","305,000","242,000","242,000","231,000","210,000","213,000","148,000","180,000","163,000","147,000","145,000","89,000","75,000","75,000","76,000","74,000","65,000",Financials in USD,Fiscal year is January - December
EBIT,"-11,595,000","-15,140,000","-15,644,000","-21,908,000","-19,503,000","-18,490,000","-15,515,000","-15,114,000","-17,876,000","-20,951,000","-16,962,000","2,792,000","-14,522,000","-12,687,000","-9,720,000","-26,053,000","-6,233,000","-5,059,000","-7,176,000","-5,443,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-292.019%,-277.321%,-279.225%,-,-,13.810%,-,-,-279.793%,-,-220.325%,-164.627%,-222.374%,-194.115%,Financials in USD,Fiscal year is January - December
