Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-6,508,000","-30,886,000","-1,205,000","-628,000","-298,000","568,000","1,242,000","-147,000","-100,000","41,000",-,"-312,000","18,000",-,"-76,000","113,000","-21,000","-37,000","-83,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-28,989,000","-57,350,000","-25,687,000","-34,925,000","-27,191,000","-33,586,000","-30,989,000","-44,387,000","-36,340,000","-36,612,000","-36,777,000","-101,619,000","-31,673,000","-42,012,000","4,771,000","-78,027,000","-69,409,000","-15,535,000","-5,797,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-1,900,000","6,000",-,-,"-3,200,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"4,700,000",-,-,"13,953,000","70,800,000",-,-,"1,281,000","344,000","-584,000","-740,000","10,107,000","-70,000","-5,460,000",-,-,-,-,"19,856,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-2,100,000",-,-,"-40,000","100,000",-,-,"1,484,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-100,000",-,-,"-153,000","-100,000",-,-,"975,000","430,000","95,000",-,"364,000","469,000","2,119,000","251,000","-4,127,000","-13,781,000","-1,302,000","1,821,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-26,489,000","-57,350,000","-27,587,000","-21,159,000","43,609,000","-33,586,000","-34,189,000","-40,647,000","-35,566,000","-37,458,000","-37,517,000","-97,694,000","-31,274,000","-53,315,000","4,050,000","-94,054,000","-83,190,000","-16,957,000","15,880,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-178,000","19,000","-209,000","-2,017,000","238,000","185,000","165,000","6,002,000","135,000","51,000","41,000","-4,421,000","368,000","58,000","6,000","301,000","4,000",-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-26,311,000","-57,369,000","-27,378,000","-19,142,000","43,371,000","-33,771,000","-34,354,000","-46,649,000","-35,701,000","-37,509,000","-37,558,000","-93,273,000","-31,642,000","-53,373,000","4,044,000","-94,355,000","-83,194,000","-16,957,000","15,880,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"25,000","57,000","665,000","850,000","873,000","729,000","1,219,000","1,638,000","1,814,000","891,000","689,000","4,396,000","484,000","4,912,000","-3,356,000","7,761,000","-1,000","600,000","422,000",Financials in USD,Fiscal year is January - December
Net Income,"-26,286,000","-57,312,000","-26,713,000","-18,292,000","44,244,000","-33,042,000","-33,135,000","-45,011,000","-33,887,000","-36,618,000","-36,869,000","-88,877,000","-31,158,000","-48,461,000","688,000","-86,594,000","-83,195,000","-16,357,000","16,302,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-26,286,000","-57,312,000","-26,713,000","-18,292,000","44,244,000","-33,042,000","-33,135,000","-45,011,000","-33,887,000","-36,618,000","-36,869,000","-88,877,000","-31,158,000","-48,461,000","688,000","-86,594,000","-83,195,000","-16,357,000","16,302,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-95.780%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"160,621,817","160,387,701","158,891,067","158,842,995","155,792,490","155,792,490","155,792,490","158,703,781","156,607,468","153,971,202","153,529,268","150,059,381","151,130,212","132,265,075","119,258,529","99,948,352","90,709,312","90,709,312","90,709,312",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"160,621,817","160,387,701","158,891,067","158,842,995","177,565,973","155,792,490","155,792,490","158,703,781","156,607,468","153,971,202","153,529,268","150,059,381","151,130,212","132,265,075","121,374,430","99,948,352","90,709,312","90,709,312","93,581,168",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-9.542%,2.950%,1.989%,0.088%,13.383%,1.183%,1.474%,5.761%,3.624%,16.411%,26.492%,50.137%,66.609%,45.812%,29.700%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.164,-0.357,-0.168,-0.115,0.284,-0.212,-0.213,-0.284,-0.216,-0.238,-0.240,-0.592,-0.206,-0.366,0.006,-0.866,-0.917,-0.180,0.180,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.164,-0.357,-0.168,-0.116,0.250,-0.212,-0.213,-0.288,-0.220,-0.238,-0.240,-0.592,-0.210,-0.366,0.005,-0.866,-0.917,-0.180,0.157,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96.791%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-19,341,000","-16,228,000","-22,573,000","-21,970,000","-18,431,000","-22,585,000","-21,391,000","-30,647,000","-28,504,000","-22,047,000","-24,042,000","-21,561,000","-27,933,000","1,774,000","-16,699,000","-6,264,000","-5,446,000","-5,221,000","-3,894,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.120,-0.101,-0.142,-0.138,-0.104,-0.145,-0.137,-0.193,-0.182,-0.143,-0.157,-0.144,-0.185,0.013,-0.138,-0.063,-0.060,-0.058,-0.042,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,100.000%,100.000%,-,100.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-56505.000%,-9424.542%,-,-186483.333%,-30843.678%,-18524.419%,-81118.919%,-98855.263%,-160095.833%,-20588.235%,-,-16795.217%,-12541.729%,-,25.262%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-65715.000%,-20993.407%,-,-101622.222%,50855.172%,-19210.465%,-89554.054%,-118450.000%,-141195.833%,-21540.000%,-,-38642.174%,-11713.534%,-,3.461%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-48352.500%,-5944.322%,-,-122055.556%,-21185.057%,-13130.814%,-57813.514%,-80650.000%,-118766.667%,-12968.824%,-,-9374.348%,-10501.128%,-,-83.999%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-22,519,000","-25,647,000","-22,102,000","-33,466,000","-26,760,000","-31,783,000","-29,949,000","-37,512,000","-38,387,000","-34,981,000","-33,382,000","-38,600,000","-33,355,000","-53,338,000","5,028,000","-75,323,000","-7,381,000","-5,702,000","-3,712,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.292%,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"83,000","82,000","83,000","101,000","74,000","79,000","65,000","53,000","36,000","19,000","60,000","29,000","6,000","19,000","6,000","14,000","5,000","3,000","2,000",Financials in USD,Fiscal year is January - December
EBIT,"-22,602,000","-25,729,000","-22,185,000","-33,567,000","-26,834,000","-31,862,000","-30,014,000","-37,565,000","-38,423,000","-35,000,000","-33,442,000","-38,629,000","-33,361,000","-53,357,000","5,022,000","-75,337,000","-7,386,000","-5,705,000","-3,714,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.262%,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,0.546%,-,-,-,-,-,-,-,-,-,0.148%,-,-,-,-,Financials in USD,Fiscal year is January - December
