Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
EPS (Diluted),-0.410,-0.446,-0.376,-0.365,-0.378,-0.348,-0.396,-0.482,-0.509,-0.774,-0.621,-3.732,-2.450,-2.958,-1.720,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,768,000","-10,313,000","-13,122,000","-10,971,000","-10,301,000","-10,517,000","-14,416,000","-8,798,000","-7,480,000","-8,231,000","-5,371,000","-4,729,000","-4,881,000","-4,410,000","-5,683,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.366,-0.288,-0.367,-0.312,-0.292,-0.304,-0.521,-0.435,-0.371,-0.812,-0.582,-2.188,-2.275,-2.119,-2.763,Financials in USD,Fiscal year is January - December
Gross Margin,93.110%,94.344%,94.516%,82.061%,90.215%,94.098%,96.220%,95.195%,95.185%,85.037%,95.150%,-,96.699%,-,97.340%,Financials in USD,Fiscal year is January - December
Operating Margin,-1655.724%,-2166.967%,-2326.290%,-4763.740%,-3466.348%,-1415.956%,-991.838%,-891.024%,-865.606%,-1903.741%,-592.148%,-,-329.107%,-,-297.948%,Financials in USD,Fiscal year is January - December
Profit Margin,-1562.918%,-2053.985%,-2171.452%,-4892.366%,-3178.043%,-1316.503%,-939.863%,-883.953%,-884.093%,-1956.858%,-661.547%,-,-394.374%,-,-268.769%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1394.934%,-1325.578%,-2116.452%,-4187.405%,-2458.473%,-1149.399%,-1238.488%,-797.643%,-643.164%,-2052.618%,-620.208%,-,-366.167%,-,-431.839%,Financials in USD,Fiscal year is January - December
EBITDA,"-16,266,000","-16,785,000","-14,349,000","-12,409,000","-14,453,000","-12,883,000","-11,474,000","-9,758,000","-10,013,000","-7,584,000","-5,080,000","-7,859,000","-4,341,000","-5,540,000","-3,878,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-294.681%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"76,000","74,000","74,000","72,000","71,000","73,000","71,000","70,000","54,000","50,000","48,000","48,000","46,000","44,000","43,000",Financials in USD,Fiscal year is January - December
EBIT,"-16,342,000","-16,859,000","-14,423,000","-12,481,000","-14,524,000","-12,956,000","-11,545,000","-9,828,000","-10,067,000","-7,634,000","-5,128,000","-7,907,000","-4,387,000","-5,584,000","-3,921,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-297.948%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"987,000","778,000","620,000","262,000","419,000","915,000","1,164,000","1,103,000","1,163,000","401,000","866,000",-,"1,333,000",-,"1,316,000",Financials in USD,Fiscal year is January - December
