Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-50,029,000","-49,739,000","-48,630,000","-48,320,000","-45,691,000","-53,807,000","-51,975,000","-41,032,000","-45,190,000","-40,946,000","-30,166,000","-31,337,000","-22,749,000","-52,965,000","-13,263,000","-23,531,000","-8,990,000","-7,580,000","-5,603,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"104,000","66,000","106,000","32,000","67,000","176,000",-,"53,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-50,133,000","-49,805,000","-48,736,000","-48,352,000","-45,758,000","-53,983,000","-51,975,000","-41,085,000","-45,190,000","-40,946,000","-30,166,000","-31,337,000","-22,749,000","-52,965,000","-13,263,000","-23,531,000","-8,990,000","-7,580,000","-5,603,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-50,133,000","-49,805,000","-48,736,000","-48,352,000","-45,758,000","-53,983,000","-51,975,000","-41,085,000","-45,190,000","-40,946,000","-30,166,000","-31,337,000","-22,749,000","-52,965,000","-13,263,000","-23,531,000","-8,990,000","-7,580,000","-5,603,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"84,632,952","84,226,523","83,132,960","69,671,255","63,211,849","61,953,992","61,787,403","61,464,731","57,207,125","48,674,873","48,571,214","48,026,078","47,992,773","7,948,110","2,656,278","2,496,846","2,358,924","2,225,017","1,917,486",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"84,632,952","84,226,523","83,132,960","69,671,255","63,211,849","61,953,992","61,787,403","61,464,731","57,207,125","48,674,873","48,571,214","48,026,078","47,992,773","7,948,110","2,656,278","2,496,846","2,358,924","2,225,017","1,917,486",Financials in USD,Fiscal year is January - December
Shares Change (YoY),33.888%,35.950%,34.547%,13.352%,10.496%,27.281%,27.210%,27.982%,19.199%,512.408%,1728.544%,1823.470%,1934.520%,257.216%,38.529%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.592,-0.591,-0.586,-0.694,-0.724,-0.871,-0.841,-0.668,-0.790,-0.841,-0.621,-0.652,-0.474,-6.664,-4.993,-9.424,-3.811,-3.407,-2.922,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.592,-0.591,-0.586,-0.694,-0.724,-0.871,-0.841,-0.668,-0.790,-0.841,-0.621,-0.652,-0.474,-6.664,-4.993,-9.424,-3.811,-3.407,-2.922,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-40,543,000","-35,138,000","-43,515,000","-42,865,000","-12,872,000","-50,624,000","-52,471,000","-37,860,000","-31,812,000","-29,477,000","-36,415,000","-29,024,000","-22,357,000","-14,647,000","-16,211,000","-15,928,000","-7,346,000","-7,540,000","-7,875,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.479,-0.417,-0.523,-0.615,-0.204,-0.817,-0.849,-0.616,-0.556,-0.606,-0.750,-0.604,-0.466,-1.843,-6.103,-6.379,-3.114,-3.389,-4.107,Financials in USD,Fiscal year is January - December
Operating Margin,-828.988%,-879.244%,-998.139%,-1048.756%,-1678.986%,-2798.997%,-4149.501%,-4714.427%,-4721.206%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-730.269%,-744.247%,-855.768%,-939.969%,-1468.014%,-2579.216%,-3701.923%,-4059.783%,-4864.370%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-590.575%,-525.075%,-764.091%,-833.301%,-412.961%,-2418.729%,-3737.251%,-3741.107%,-3424.327%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-55,156,000","-57,172,000","-55,212,000","-52,431,000","-50,860,000","-57,246,000","-57,132,000","-46,785,000","-43,143,000","-41,544,000","-31,411,000","-32,068,000","-23,090,000","-16,607,000","-13,767,000","-17,347,000","-8,348,000","-6,400,000","-7,204,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,754,000","1,667,000","1,632,000","1,517,000","1,474,000","1,337,000","1,127,000","925,000","717,000","648,000","514,000","472,000","412,000","357,000","294,000","253,000","624,000","286,000","165,000",Financials in USD,Fiscal year is January - December
EBIT,"-56,910,000","-58,839,000","-56,844,000","-53,948,000","-52,334,000","-58,583,000","-58,259,000","-47,710,000","-43,860,000","-42,192,000","-31,925,000","-32,540,000","-23,502,000","-16,964,000","-14,061,000","-17,600,000","-8,972,000","-6,686,000","-7,369,000",Financials in USD,Fiscal year is January - December
