Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"-83,000",-,-,"8,762,000","43,000",-,-,"1,903,000",-,-,-,"-6,669,000","-1,000","1,000","-81,000,000","-9,397,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-53,618,000","-55,022,000","-46,793,000","-52,778,000","-51,006,000","-44,581,000","-37,898,000","-37,760,000","-30,927,000","-26,067,000","-19,887,000","-66,745,000","-10,428,000","-8,015,000","-86,955,000","-11,994,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,100,000","-439,000","1,166,000","635,000","190,000","2,227,000","-1,701,000","-1,709,000","1,789,000","-3,723,000","-4,485,000","-1,466,000","-8,354,000","9,749,000","-320,000","11,296,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-13,500,000",-,-,-,-,-,-,-,"6,681,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-52,518,000","-55,461,000","-45,627,000","-65,643,000","-50,816,000","-42,354,000","-39,599,000","-39,469,000","-29,138,000","-29,790,000","-24,372,000","-61,530,000","-18,782,000","1,734,000","-87,275,000","-698,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"-134,000","134,000",-,"-108,000","31,000","-202,000","-186,000","212,000","-442,000","-532,000","1,381,000","-2,370,000","1,118,000","-615,000","1,867,000",Financials in USD,Fiscal year is January - December
Net Income,"-52,518,000","-55,327,000","-45,761,000","-65,643,000","-50,708,000","-42,385,000","-39,397,000","-39,283,000","-29,350,000","-29,348,000","-23,840,000","-62,911,000","-16,412,000","616,000","-86,660,000","-2,565,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,"1,314,000","6,362,000","6,293,000","6,224,000","6,362,000","6,363,000","4,833,000","1,194,000","781,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-52,518,000","-55,327,000","-45,761,000","-65,643,000","-50,708,000","-42,385,000","-39,397,000","-40,597,000","-35,712,000","-35,641,000","-30,064,000","-69,273,000","-22,775,000","-4,217,000","-87,854,000","-3,346,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"119,764,270","119,188,866","104,466,178","92,467,710","91,846,835","90,467,298","89,064,895","74,194,068","22,226,301","20,227,343","19,050,385","16,506,766","14,965,186","13,038,385","7,331,147","5,244,251",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"119,764,270","119,188,866","104,466,178","92,467,710","91,846,835","90,467,298","89,064,895","74,194,068","22,226,301","20,227,343","19,050,385","16,506,766","14,965,186","13,038,385","7,331,147","5,244,251",Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.396%,31.748%,17.292%,24.630%,313.235%,347.253%,367.523%,349.477%,48.520%,55.137%,159.855%,214.759%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.439,-0.464,-0.438,-0.710,-0.552,-0.469,-0.442,-0.547,-1.607,-1.762,-1.578,-4.197,-1.522,-0.323,-11.984,-0.638,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.439,-0.464,-0.438,-0.710,-0.552,-0.469,-0.442,-0.547,-1.607,-1.762,-1.578,-4.197,-1.522,-0.323,-11.984,-0.638,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,189,000","-47,393,000","-70,031,000","-45,704,000","-42,075,000","-42,797,000","-43,560,000","-35,527,000","-34,889,000","-25,025,000","-52,481,000","-13,569,000","-11,430,000","-7,338,000","-5,895,000","-2,782,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.227,-0.398,-0.670,-0.494,-0.458,-0.473,-0.489,-0.479,-1.570,-1.237,-2.755,-0.822,-0.764,-0.563,-0.804,-0.530,Financials in USD,Fiscal year is January - December
Operating Margin,-25948.325%,-,-8179.526%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-25128.230%,-,-7742.978%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-13009.091%,-,-11849.577%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-52,674,000","-54,134,000","-47,026,000","-53,296,000","-50,223,000","-44,139,000","-38,981,000","-37,816,000","-31,024,000","-25,875,000","-19,605,000","-59,847,000","-10,260,000","-7,894,000","-5,905,000","-2,574,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,558,000","1,538,000","1,315,000","1,247,000","1,236,000","1,118,000","1,052,000","870,000","631,000","430,000","293,000","229,000","167,000","122,000","50,000","23,000",Financials in USD,Fiscal year is January - December
EBIT,"-54,232,000","-55,672,000","-48,341,000","-54,543,000","-51,459,000","-45,257,000","-40,033,000","-38,686,000","-31,655,000","-26,305,000","-19,898,000","-60,076,000","-10,427,000","-8,016,000","-5,955,000","-2,597,000",Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,64.475%,-,-,Financials in USD,Fiscal year is January - December
