Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-60,739,000","-47,247,000","-43,496,000","-74,654,000","-36,540,000","-52,078,000","-37,196,000","-47,066,000","-41,087,000","-50,990,000","-100,666,000","-82,189,000","-56,375,000","-42,173,000","-37,700,000","-34,998,721","-8,093,000","-98,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"400,000","1,700,000","2,000,000","2,700,000","2,892,000",-,-,-,"-853,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-60,739,000","-47,247,000","-43,496,000","-73,654,000","-39,440,000","-50,228,000","-35,321,000","-44,574,000","-45,087,000","-50,990,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-63,869,447","-48,008,000","-98,000",Financials in USD,Fiscal year is January - December
Net Income,"-60,739,000","-47,247,000","-43,496,000","-73,654,000","-39,440,000","-50,228,000","-35,321,000","-44,574,000","-45,087,000","-50,990,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-63,869,447","-48,008,000","-98,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-60,739,000","-47,247,000","-43,496,000","-73,654,000","-39,440,000","-50,228,000","-35,321,000","-44,574,000","-45,087,000","-50,990,000","-100,666,000","-83,042,000","-60,375,000","-44,673,000","-38,700,000","-63,869,447","-48,008,000","-98,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"119,495,284","119,362,670","115,618,209","110,103,160","109,754,812","109,450,071","108,785,519","108,609,965","108,420,674","108,166,890","107,869,570","109,444,747","61,297,086","249,769","5,593,240","5,593,240","1,847,826","21,250,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"119,495,284","119,362,670","115,618,209","110,103,160","109,754,812","109,450,071","108,785,519","108,609,965","108,420,674","108,166,890","107,869,570","109,444,747","61,297,086","249,769","5,593,240","5,593,240","1,847,826","21,250,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.875%,9.057%,6.281%,1.375%,1.231%,1.186%,0.849%,-0.763%,76.877%,43206.771%,1828.570%,1856.733%,3217.254%,-98.825%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.508,-0.396,-0.376,-0.669,-0.359,-0.459,-0.325,-0.410,-0.416,-0.471,-0.933,-0.759,-0.985,-178.857,-6.919,-11.419,-25.981,-0.005,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.508,-0.396,-0.376,-0.669,-0.359,-0.459,-0.325,-0.410,-0.416,-0.471,-0.933,-0.759,-0.985,-178.857,-6.919,-11.419,-25.981,-0.005,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-41,073,000","-41,599,000","-50,354,000","-59,240,000","-35,352,000","-37,382,000","-41,805,000","-48,615,000","-56,619,000","-57,409,000","-59,049,000","-73,296,000","-54,213,000","-33,570,000","-23,741,000","-23,835,861",-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.344,-0.349,-0.436,-0.538,-0.322,-0.342,-0.384,-0.448,-0.522,-0.531,-0.547,-0.670,-0.884,-134.404,-4.245,-4.262,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,91.333%,96.113%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-670.011%,-2175.221%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-653.108%,-2086.882%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-441.645%,-1837.412%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-62,179,000","-49,119,000","-45,967,000","-77,232,000","-38,341,000","-53,604,000","-38,126,000","-30,412,000","-43,326,000","-51,744,000","-100,735,000","-83,089,750",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"132,000","128,000","122,000","120,000","119,000","121,000","120,000","27,000","5,000","5,000","4,000",250,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-62,311,000","-49,247,000","-46,089,000","-77,352,000","-38,460,000","-53,725,000","-38,246,000","-30,439,000","-43,331,000","-51,749,000","-100,739,000","-83,090,000","-56,418,000","-42,191,000","-37,709,000","-35,012,436","-8,093,000","-98,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"9,300,000","2,264,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
