Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
EPS (Basic),-2.873,-3.706,-3.704,-,-2.872,-2.881,-2.714,-,-3.455,-2.268,-1.368,0.774,-3.408,-1.763,-1.382,-0.126,-0.038,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.873,-3.706,-3.704,-,-2.872,-2.881,-2.714,-,-3.455,-2.268,-1.368,0.774,-3.408,-1.763,-1.382,-0.126,-0.038,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,120,451","-4,038,866","-4,321,085",-,"-2,632,053","-3,482,463","-3,439,610",-,"-4,226,526","-1,931,668","-2,565,361","-1,757,266","-557,012","-499,438","-381,845","-34,064",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.989,-3.871,-4.145,-,-2.092,-2.666,-2.638,-,-3.184,-1.648,-2.230,-2.157,-1.244,-1.210,-0.960,-0.090,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-14.693%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-12988.029%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,4183.661%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-11666.884%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-2,842,347","-3,782,778","-3,878,516",-,"-3,627,070","-3,666,444","-3,050,832",-,"-3,839,054","-2,600,772","-2,073,864","-1,955,912",-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"162,257","162,256","162,258","162,221","162,256","162,257","161,720","4,138","16,670","10,787","5,014",345,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-3,004,604","-3,945,034","-4,040,774",-,"-3,789,326","-3,828,701","-3,212,552",-,"-3,855,724","-2,611,559","-2,078,878","-1,956,257","-1,273,600","-727,947","-549,609","-47,506","-13,970",Financials in USD,Fiscal year is January - December
