Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"1,306,146","554,907","553,690","477,227","438,039","397,668","397,760","405,948","358,459","299,896","158,486","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,306,146","554,907","553,690","477,227","438,039","397,668","397,760","405,948","358,459","299,896","158,486","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),198.180%,39.540%,39.202%,17.559%,22.201%,32.602%,150.975%,407.435%,348.074%,274.870%,98.107%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.930,-25.782,-20.081,-46.835,-12.206,-17.264,-7.157,-7.927,-10.787,-14.220,-13.673,-17.094,-16.028,-11.644,-5.793,-6.814,-5.939,-7.119,-7.119,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.930,-25.782,-20.081,-46.835,-12.206,-17.264,-7.157,-7.927,-10.787,-14.220,-13.673,-17.094,-16.028,-11.644,-5.793,-6.814,-5.939,-7.119,-7.119,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,148,891","-3,217,234","-5,236,641","-4,311,887","-3,040,362","-11,398,390","-4,413,450","-2,800,042","-1,814,824","-3,178,719","-891,288","-676,328","-730,478","-382,805","-256,548","-271,276","-212,419","-629,117","-629,118",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.880,-5.798,-9.458,-9.035,-6.941,-28.663,-11.096,-6.898,-5.063,-10.599,-5.624,-8.454,-9.131,-4.785,-3.207,-3.391,-2.655,-7.864,-7.864,Financials in USD,Fiscal year is January - December
Gross Margin,25.909%,14.289%,26.983%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-650.315%,-300.331%,-513.456%,-9226.525%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-940.720%,-2029.757%,-1587.386%,-38229.491%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-282.381%,-456.444%,-747.629%,-7375.159%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-2,441,822","-1,915,578","-3,389,714","-5,355,237","-4,486,466","-3,148,029","-2,846,561","-3,244,114","-3,867,889","-3,993,124","-1,769,361","-1,202,202","-1,094,665","-791,028","-324,549","-404,388","-335,709","-439,458","-439,458",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-271.772%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"204,045","201,301","206,700","39,051","1,617","1,571","1,698","1,846","1,845","1,761","1,300","1,153","1,259","1,246","1,232","1,010",851,597,598,Financials in USD,Fiscal year is January - December
EBIT,"-2,645,867","-2,116,879","-3,596,414","-5,394,288","-4,488,083","-3,149,600","-2,848,259","-3,245,960","-3,869,734","-3,994,885","-1,770,661","-1,203,355","-1,095,924","-792,274","-325,781","-405,398","-336,560","-440,055","-440,056",Financials in USD,Fiscal year is January - December
